Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:21:12.302,-0.148,-0.115,6.964,0.108,0.31,0.076,1.891,-0.103,0.061,0.017,0.761,4.566,1609030,,
2025/12/12 15:21:12.402,-0.432,-0.473,6.941,0.135,0.352,0.08,1.901,-0.089,0.082,0.032,0.142,5.24,1609130,,
2025/12/12 15:21:12.502,0.401,-1.297,7.048,0.136,0.41,0.081,1.884,-0.089,0.116,-0.011,-0.457,5.798,1609230,,
2025/12/12 15:21:12.604,-0.124,-0.934,5.517,0.138,0.414,0.065,1.878,-0.084,0.12,-0.046,-1.064,6.14,1609330,,
2025/12/12 15:21:12.702,-0.294,-1.854,4.774,0.118,0.412,0.122,1.869,-0.111,0.122,-0.19,-1.516,6.088,1609430,,
2025/12/12 15:21:12.802,-0.371,-1.521,4.272,0.118,0.417,0.087,1.862,-0.098,0.125,-0.19,-1.751,5.848,1609530,,
2025/12/12 15:21:12.902,0.001,-1.24,4.939,0.128,0.389,0.111,1.813,-0.105,0.14,-0.259,-1.681,5.438,1609630,,
2025/12/12 15:21:13.002,-0.641,-0.816,5.294,0.13,0.398,0.119,1.824,-0.107,0.136,-0.284,-1.453,5.131,1609730,,
2025/12/12 15:21:13.102,0.004,-0.949,6.57,0.14,0.387,0.116,1.815,-0.111,0.14,-0.287,-0.984,5.05,1609830,,
2025/12/12 15:21:13.202,-0.301,0.332,6.358,0.105,0.379,0.123,1.808,-0.094,0.141,-0.209,-0.376,5.258,1609930,,
2025/12/12 15:21:13.302,-0.288,0.328,6.349,0.132,0.422,0.103,1.785,-0.113,0.116,-0.211,0.217,5.506,1610030,,
2025/12/12 15:21:13.402,-0.154,0.749,5.575,0.137,0.453,0.089,1.708,-0.122,0.065,-0.177,0.74,5.744,1610130,,
2025/12/12 15:21:13.502,-0.377,1.1,4.78,0.138,0.453,0.066,1.631,-0.136,0.018,-0.152,1.166,5.86,1610230,,
2025/12/12 15:21:13.604,-0.032,1.713,4.686,0.128,0.45,0.045,1.621,-0.149,0.012,-0.129,1.518,5.728,1610330,,
2025/12/12 15:21:13.702,0.483,1.511,4.72,0.169,0.452,0.104,1.619,-0.109,0.011,0.022,1.685,5.504,1610430,,
2025/12/12 15:21:13.802,0.368,1.214,5.016,0.134,0.449,0.062,1.617,-0.14,0.009,-0.018,1.629,5.144,1610530,,
2025/12/12 15:21:13.902,0.17,1.01,5.836,0.161,0.337,0.079,1.546,-0.122,-0.064,0.053,1.159,5.056,1610630,,
2025/12/12 15:21:14.002,-0.298,0.355,5.896,0.124,0.326,0.065,1.541,-0.142,-0.07,-0.004,0.698,5.174,1610730,,
2025/12/12 15:21:14.102,-0.123,-0.244,6.023,0.13,0.346,0.072,1.548,-0.139,-0.06,-0.013,0.194,5.473,1610830,,
2025/12/12 15:21:14.202,-0.145,-0.706,6.034,0.126,0.407,0.072,1.542,-0.141,-0.027,-0.056,-0.287,5.674,1610930,,
2025/12/12 15:21:14.302,0.087,-0.888,5.662,0.125,0.435,0.072,1.522,-0.142,-0.008,-0.104,-0.778,5.785,1611030,,
2025/12/12 15:21:14.402,-0.2,-0.535,5.342,0.129,0.475,0.068,1.449,-0.139,0.031,-0.149,-1.101,5.801,1611130,,
2025/12/12 15:21:14.502,-0.556,-1.02,5.572,0.129,0.472,0.058,1.317,-0.135,0.077,-0.187,-1.211,5.691,1611230,,
2025/12/12 15:21:14.604,-0.332,-1.657,5.672,0.134,0.461,0.062,1.28,-0.136,0.089,-0.236,-1.271,5.59,1611330,,
2025/12/12 15:21:14.702,-0.407,-1.293,5.645,0.129,0.461,0.054,1.269,-0.134,0.091,-0.257,-1.189,5.562,1611430,,
2025/12/12 15:21:14.802,-0.419,-0.563,5.41,0.129,0.459,0.054,1.267,-0.134,0.091,-0.273,-0.95,5.536,1611530,,
2025/12/12 15:21:14.902,0.202,0.096,5.836,0.099,0.426,0.053,1.267,-0.122,0.104,-0.229,-0.53,5.496,1611630,,
2025/12/12 15:21:15.002,-0.061,0.267,5.427,0.09,0.351,0.064,1.309,-0.114,0.149,-0.19,0.055,5.482,1611730,,
2025/12/12 15:21:15.102,0.008,0.313,5.241,0.081,0.355,0.078,1.305,-0.105,0.145,-0.132,0.533,5.464,1611830,,
2025/12/12 15:21:15.202,-0.208,1.228,5.35,0.08,0.361,0.088,1.239,-0.099,0.105,-0.077,0.874,5.432,1611930,,
2025/12/12 15:21:15.302,0.549,0.708,5.579,0.088,0.345,0.127,1.138,-0.075,0.044,0.021,1.039,5.426,1612030,,
2025/12/12 15:21:15.402,-0.036,1.176,5.078,0.092,0.292,0.118,1.054,-0.079,-0.012,0.045,1.062,5.381,1612130,,
2025/12/12 15:21:15.502,0.309,0.809,5.528,0.062,0.273,0.089,1.032,-0.104,-0.028,0.003,1.022,5.309,1612230,,
2025/12/12 15:21:15.604,-0.341,0.43,5.308,0.08,0.221,0.101,0.999,-0.091,-0.063,0.037,0.788,5.346,1612330,,
2025/12/12 15:21:15.702,-0.664,0.222,5.174,0.051,0.25,0.092,1.014,-0.105,-0.046,-0.021,0.579,5.429,1612430,,
2025/12/12 15:21:15.802,-0.423,-0.397,5.345,0.079,0.262,0.105,1.021,-0.091,-0.039,-0.008,0.255,5.521,1612530,,
2025/12/12 15:21:15.902,-0.655,-0.136,5.305,0.046,0.291,0.106,1.024,-0.109,-0.025,-0.099,-0.079,5.541,1612630,,
2025/12/12 15:21:16.002,0.428,-0.283,6.24,0.038,0.321,0.11,1.005,-0.114,-0.005,-0.155,-0.399,5.585,1612730,,
2025/12/12 15:21:16.102,0.121,0.008,5.803,0.04,0.361,0.088,0.944,-0.106,0.031,-0.163,-0.613,5.659,1612830,,
2025/12/12 15:21:16.202,-0.446,-0.916,5.26,0.03,0.367,0.133,0.873,-0.125,0.058,-0.253,-0.75,5.675,1612930,,
2025/12/12 15:21:16.302,-0.583,-0.828,5.133,0.031,0.363,0.112,0.844,-0.118,0.067,-0.234,-0.834,5.669,1613030,,
2025/12/12 15:21:16.402,-0.654,-0.647,5.166,0.047,0.342,0.129,0.808,-0.124,0.077,-0.258,-0.786,5.557,1613130,,
2025/12/12 15:21:16.502,0.422,-0.174,5.648,0.006,0.309,0.098,0.788,-0.111,0.088,-0.174,-0.625,5.475,1613230,,
2025/12/12 15:21:16.604,0.401,0.085,5.478,-0.022,0.278,0.108,0.785,-0.097,0.1,-0.104,-0.374,5.418,1613330,,
