Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2025/12/26 17:25:03.689,-1.316,0.432,6.854,2.206,-0.052,0.267,0.058,-0.306,0.106,-0.795,0.053,6.306,534140,,,,,,PhaseCorr: err=-0.0001 est_freq=0.5793 (no correct
2025/12/26 17:25:03.787,-1.8,0.311,5.335,2.171,-0.066,0.203,0.04,-0.287,0.111,-1.443,0.105,6.546,534240,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:03.887,-1.988,0.37,4.291,2.164,-0.087,0.199,0.021,-0.285,0.118,-2.017,0.169,6.259,534340,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:03.987,-1.93,-0.005,3.738,2.128,-0.117,0.192,0.011,-0.272,0.129,-2.322,0.234,5.69,534440,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.086,-2.131,0.11,3.441,2.092,-0.101,0.201,0.003,-0.255,0.12,-2.35,0.222,5.02,534540,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.187,-1.298,0.857,4.661,2.058,-0.117,0.224,0.019,-0.233,0.132,-2.09,0.249,4.413,534640,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.287,-0.837,0.46,5.666,2.025,-0.119,0.32,0.047,-0.171,0.149,-1.492,0.27,4.175,534740,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.387,-0.419,0.037,6.352,2.028,-0.12,0.344,0.089,-0.157,0.175,-0.811,0.311,4.402,534840,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.487,0.089,0.282,6.437,2.006,-0.107,0.289,0.133,-0.192,0.202,-0.161,0.348,4.984,534940,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.587,0.759,-0.092,5.834,1.956,-0.128,0.221,0.102,-0.24,0.18,0.432,0.25,5.667,535040,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.690,1.332,0.573,5.609,1.906,-0.149,0.177,0.084,-0.279,0.164,0.942,0.15,6.062,535140,,,,,,PhaseCorr: err=-0.0038 est_freq=0.5787 (no correct
2025/12/26 17:25:04.787,1.257,0.39,5.077,1.852,-0.113,0.144,0.101,-0.314,0.185,1.289,0.15,6.138,535240,,,,,,PhaseCorr: err=-0.0032 est_freq=0.5788 (no correct
2025/12/26 17:25:04.887,1.16,-0.322,4.448,1.807,-0.112,0.129,0.099,-0.337,0.185,1.448,0.1,6.038,535340,,,,,,PhaseCorr: err=-0.0032 est_freq=0.5788 (no correct
