Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/11/05 17:20:40.924,1.411,-0.275,4.598,0.096,-0.024,0.023,0.198,-0.038,-0.069,0.031,0.087,3.98,2598390,,
2025/11/05 17:20:40.925,0.816,-0.385,4.253,0.114,-0.039,0.034,0.187,-0.026,-0.08,0.085,0.004,4.054,2598490,,
2025/11/05 17:20:40.926,-0.539,0.077,3.949,0.149,-0.03,0.049,0.192,-0.007,-0.074,0.15,-0.044,4.158,2598590,,
2025/11/05 17:20:40.927,-0.634,0.331,3.766,0.054,-0.027,0.023,0.19,-0.055,-0.073,-0.001,-0.109,4.054,2598690,,
2025/11/05 17:20:40.928,-0.42,-1.022,3.923,-0.01,-0.04,0.03,0.197,-0.091,-0.081,-0.113,-0.196,3.994,2598790,,
2025/11/05 17:20:40.929,0.355,-0.242,4.761,-0.012,-0.033,0.028,0.192,-0.092,-0.076,-0.12,-0.234,4.049,2598890,,
2025/11/05 17:20:40.930,0.263,0.525,4.612,0.03,-0.029,-0.03,0.189,-0.054,-0.073,-0.014,-0.257,4.194,2598990,,
2025/11/05 17:20:40.931,0.883,0.554,4.888,0.035,-0.025,-0.086,0.133,-0.033,-0.052,0.056,-0.187,4.278,2599090,,
2025/11/05 17:20:40.932,0.503,-0.436,4.256,0.022,-0.023,-0.147,0.157,-0.014,-0.06,0.121,-0.206,4.281,2599190,,
2025/11/05 17:20:40.933,0.715,-1.261,3.946,-0.005,-0.007,-0.178,0.178,-0.004,-0.067,0.143,-0.208,4.171,2599290,,
2025/11/05 17:20:40.934,1.592,-1.031,3.927,-0.021,0.033,-0.169,0.204,0.001,-0.08,0.112,-0.222,3.934,2599390,,
2025/11/05 17:20:40.935,1.361,-0.7,3.836,-0.086,0.026,-0.166,0.195,0.027,-0.08,0.149,-0.15,3.733,2599490,,
2025/11/05 17:20:40.936,-0.454,-0.384,3.208,-0.218,0.022,-0.126,0.182,0.092,-0.083,0.293,-0.083,3.692,2599590,,
2025/11/05 17:20:40.937,-0.112,0.873,3.488,-0.268,0.025,-0.055,0.181,0.143,-0.084,0.355,-0.022,3.641,2599690,,
2025/11/05 17:20:40.938,-0.818,0.401,3.206,-0.252,0.035,-0.177,0.137,0.068,-0.112,0.103,-0.033,3.573,2599790,,
2025/11/05 17:20:40.939,-0.033,0.085,4.03,-0.256,0.047,-0.102,0.215,0.113,-0.064,0.11,0.119,3.776,2599890,,
2025/11/05 17:20:40.940,0.716,-0.189,4.483,-0.259,0.004,-0.105,0.121,0.111,-0.125,0.008,-0.004,4.01,2599990,,
2025/11/05 17:20:40.941,-0.114,0.077,4.09,-0.325,0.004,-0.179,0.126,0.055,-0.123,-0.223,-0.002,4.123,2600090,,
2025/11/05 17:20:40.942,-0.49,0.614,3.94,-0.387,0.016,-0.228,0.135,0.008,-0.114,-0.416,-0.0,4.156,2600190,,
