Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2025/12/26 18:38:31.414,-3.557,0.68,3.64,-0.399,0.019,2.118,-0.211,-0.039,0.043,-1.864,0.212,5.986,1869930,,,0.0003,0.5794,-320.0,PhaseCorr: err=0.0003 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.514,-2.256,0.026,2.879,-0.465,0.025,2.218,-0.228,-0.099,0.051,-2.33,0.272,5.381,1870030,,,0.0003,0.5794,-320.0,PhaseCorr: err=0.0003 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.614,-1.04,-0.097,3.156,-0.47,0.031,2.184,-0.229,-0.089,0.053,-2.284,0.283,4.745,1870130,,,0.0003,0.5794,-320.0,PhaseCorr: err=0.0003 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.716,,,,,,,,,,,,,,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.717,-1.545,0.412,3.768,-0.502,0.044,2.109,-0.216,-0.067,0.049,-1.887,0.238,4.233,1870230,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.814,-1.278,0.559,5.488,-0.505,0.022,2.086,-0.239,-0.063,0.057,-1.317,0.225,4.066,1870330,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:31.914,-0.216,0.389,7.34,-0.44,0.002,2.103,-0.247,-0.085,0.064,-0.703,0.18,4.379,1870430,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.014,0.807,-0.089,7.532,-0.35,0.014,2.099,-0.248,-0.121,0.059,-0.063,0.08,5.151,1870530,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.114,0.349,-0.288,5.67,-0.265,0.002,2.06,-0.24,-0.169,0.067,0.558,0.01,6.062,1870630,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.214,0.565,0.021,4.87,-0.2,0.0,1.954,-0.233,-0.243,0.071,1.016,-0.059,6.514,1870730,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.314,1.596,-0.098,4.764,-0.199,0.005,1.893,-0.203,-0.28,0.089,1.383,-0.079,6.493,1870830,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.414,2.185,0.553,5.144,-0.209,0.008,1.876,-0.184,-0.291,0.101,1.578,-0.079,6.163,1870930,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.514,1.273,-0.515,4.921,-0.182,0.022,1.912,-0.161,-0.265,0.116,1.614,-0.041,5.764,1871030,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.614,0.796,-0.38,5.457,-0.173,0.032,1.918,-0.147,-0.259,0.125,1.362,0.009,5.409,1871130,,,0.0005,0.5794,-320.0,PhaseCorr: err=0.0005 est_freq=0.5794 Hz corr=-320
2025/12/26 18:38:32.716,,,,,,,,,,,,,,,,0.0021,0.5797,-320.0,PhaseCorr: err=0.0021 est_freq=0.5797 Hz corr=-320
2025/12/26 18:38:32.718,0.605,-0.07,6.321,-0.153,0.02,1.934,-0.157,-0.244,0.116,0.926,0.027,5.253,1871230,,,0.0021,0.5797,-320.0,PhaseCorr: err=0.0021 est_freq=0.5797 Hz corr=-320
2025/12/26 18:38:32.814,0.079,0.362,7.062,-0.128,0.011,1.949,-0.16,-0.227,0.112,0.344,0.066,5.358,1871330,,,0.0021,0.5797,-320.0,PhaseCorr: err=0.0021 est_freq=0.5797 Hz corr=-320
