Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/11/14 15:56:27.701,-2.317,0.351,4.959,1.95,0.054,0.39,-0.0,-0.15,-0.054,-0.968,-0.086,3.512,2258840,,
2025/11/14 15:56:27.801,-1.763,1.065,6.894,1.908,0.049,0.266,-0.013,-0.228,-0.062,-0.479,-0.088,4.343,2258940,,
2025/11/14 15:56:27.901,-0.267,1.706,7.702,1.876,0.059,0.214,-0.01,-0.263,-0.058,0.103,-0.063,5.767,2259040,,
2025/11/14 15:56:28.001,-0.496,1.082,6.569,1.861,0.054,0.186,-0.025,-0.279,-0.065,0.672,-0.065,7.192,2259140,,
2025/11/14 15:56:28.101,-0.736,0.284,5.72,1.843,0.062,0.171,-0.016,-0.293,-0.057,1.133,-0.023,7.963,2259240,,
2025/11/14 15:56:28.203,-0.286,0.701,5.602,1.837,0.04,0.166,-0.023,-0.298,-0.068,1.438,-0.041,8.067,2259340,,
2025/11/14 15:56:28.301,-0.028,0.849,5.881,1.806,-0.007,0.15,-0.04,-0.317,-0.091,1.495,-0.102,7.798,2259440,,
2025/11/14 15:56:28.401,0.349,-0.122,6.662,1.817,-0.035,0.145,-0.042,-0.311,-0.106,1.401,-0.128,7.501,2259540,,
2025/11/14 15:56:28.501,-1.211,-0.258,7.526,1.886,-0.04,0.122,-0.038,-0.27,-0.109,1.19,-0.12,7.258,2259640,,
2025/11/14 15:56:28.601,2.277,-0.656,10.292,1.92,-0.015,0.111,-0.077,-0.251,-0.086,0.733,-0.03,7.069,2259740,,
2025/11/14 15:56:28.701,0.34,-1.168,9.557,1.937,-0.033,-0.061,-0.058,-0.187,-0.1,0.341,-0.051,7.126,2259840,,
2025/11/14 15:56:28.801,-2.087,-0.429,7.551,1.928,-0.025,-0.132,-0.012,-0.164,-0.115,-0.239,-0.1,7.127,2259940,,
2025/11/14 15:56:28.901,-3.159,0.992,5.76,1.95,-0.006,-0.093,0.007,-0.175,-0.121,-0.955,-0.125,6.779,2260040,,
2025/11/14 15:56:29.001,-2.751,1.146,4.193,2.002,-0.034,-0.048,-0.012,-0.193,-0.112,-1.611,-0.078,6.082,2260140,,
2025/11/14 15:56:29.101,-3.403,0.211,2.417,2.016,-0.036,-0.051,-0.002,-0.199,-0.109,-2.03,-0.075,5.21,2260240,,
2025/11/14 15:56:29.203,-2.617,0.402,1.884,1.973,-0.034,-0.072,0.007,-0.188,-0.107,-2.154,-0.072,4.299,2260340,,
2025/11/14 15:56:29.301,0.276,0.77,3.03,1.84,-0.031,0.006,0.032,-0.108,-0.096,-1.867,-0.057,3.512,2260440,,
2025/11/14 15:56:29.401,-0.712,0.426,2.72,1.732,-0.018,0.255,0.051,0.056,-0.088,-1.17,-0.042,3.081,2260540,,
2025/11/14 15:56:29.501,-0.572,0.784,3.563,1.734,-0.006,0.14,0.039,-0.012,-0.096,-0.832,-0.06,2.971,2260640,,
2025/11/14 15:56:29.601,-0.491,0.663,4.293,1.733,-0.001,0.143,0.014,-0.011,-0.11,-0.246,-0.096,3.405,2260740,,
2025/11/14 15:56:29.701,-0.21,0.308,4.959,1.682,-0.019,0.058,-0.024,-0.068,-0.135,0.211,-0.162,4.175,2260840,,
2025/11/14 15:56:29.801,0.877,0.473,5.754,1.648,0.005,0.022,0.004,-0.097,-0.113,0.691,-0.106,5.188,2260940,,
2025/11/14 15:56:29.901,0.482,-0.091,5.945,1.569,-0.015,-0.042,-0.008,-0.158,-0.127,0.977,-0.144,6.056,2261040,,
2025/11/14 15:56:30.001,0.894,0.548,6.634,1.477,0.03,-0.09,0.018,-0.213,-0.097,1.123,-0.062,6.774,2261140,,
2025/11/14 15:56:30.101,0.283,0.914,7.072,1.469,0.037,-0.107,0.02,-0.219,-0.094,1.246,-0.055,7.376,2261240,,
2025/11/14 15:56:30.203,-0.938,1.278,7.432,1.404,0.072,-0.121,0.024,-0.251,-0.075,1.12,-0.015,7.757,2261340,,
2025/11/14 15:56:30.301,-0.668,1.443,8.357,1.393,0.111,-0.11,0.008,-0.259,-0.051,0.898,0.03,8.062,2261440,,
2025/11/14 15:56:30.401,-0.342,0.054,9.261,1.437,0.143,-0.141,-0.051,-0.23,-0.019,0.637,0.099,8.222,2261540,,
2025/11/14 15:56:30.501,0.025,-1.816,9.448,1.461,0.123,-0.142,-0.047,-0.221,-0.027,0.201,0.042,8.176,2261640,,
2025/11/14 15:56:30.601,1.464,-2.107,9.411,1.487,0.119,-0.183,-0.012,-0.202,-0.04,-0.255,-0.047,7.972,2261740,,
2025/11/14 15:56:30.701,2.447,-2.486,8.833,1.452,0.131,-0.267,0.017,-0.178,-0.05,-0.653,-0.129,7.519,2261840,,
2025/11/14 15:56:30.801,1.698,-1.253,7.063,1.407,0.215,-0.298,0.069,-0.163,-0.077,-1.037,-0.285,6.775,2261940,,
2025/11/14 15:56:30.901,0.433,-0.764,5.249,1.375,0.267,-0.296,0.051,-0.149,-0.099,-1.334,-0.368,5.789,2262040,,
2025/11/14 15:56:31.001,-0.418,0.637,4.081,1.312,0.246,-0.269,0.012,-0.115,-0.104,-1.426,-0.35,4.7,2262140,,
2025/11/14 15:56:31.101,-0.415,0.911,3.175,1.267,0.204,-0.199,0.012,-0.066,-0.09,-1.326,-0.278,3.731,2262240,,
2025/11/14 15:56:31.203,-0.197,-0.027,2.982,1.265,0.187,-0.142,0.007,-0.032,-0.089,-1.094,-0.228,3.009,2262340,,
2025/11/14 15:56:31.301,-0.097,-0.407,2.911,1.269,0.17,-0.092,-0.045,-0.002,-0.12,-0.713,-0.244,2.719,2262440,,
2025/11/14 15:56:31.401,0.096,-0.175,3.024,1.283,0.168,-0.041,-0.006,0.028,-0.098,-0.228,-0.133,2.841,2262540,,
2025/11/14 15:56:31.501,-0.068,-0.417,3.114,1.274,0.189,-0.053,0.037,0.02,-0.07,0.199,0.001,3.265,2262640,,
2025/11/14 15:56:31.601,0.321,-0.275,3.576,1.233,0.165,-0.09,0.024,-0.012,-0.086,0.538,0.018,3.897,2262740,,
2025/11/14 15:56:31.701,0.437,-0.049,4.005,1.185,0.154,-0.124,0.023,-0.046,-0.09,0.793,0.044,4.584,2262840,,
2025/11/14 15:56:31.801,-0.224,-0.199,4.581,1.092,0.148,-0.168,0.023,-0.099,-0.092,0.877,0.055,5.293,2262940,,
2025/11/14 15:56:31.901,0.666,-0.422,6.215,1.013,0.123,-0.187,0.024,-0.139,-0.105,0.876,0.017,6.088,2263040,,
2025/11/14 15:56:32.001,1.691,-0.268,7.769,1.028,0.106,-0.202,0.036,-0.129,-0.116,0.901,-0.03,6.949,2263140,,
2025/11/14 15:56:32.101,1.52,-0.309,8.949,0.997,0.094,-0.216,0.056,-0.142,-0.127,0.748,-0.094,7.689,2263240,,
2025/11/14 15:56:32.203,0.569,-0.379,9.74,0.971,0.115,-0.211,0.054,-0.155,-0.117,0.492,-0.11,8.298,2263340,,
2025/11/14 15:56:32.301,0.544,0.484,10.343,0.963,0.139,-0.242,-0.001,-0.147,-0.09,0.23,-0.069,8.723,2263440,,
2025/11/14 15:56:32.401,-0.284,0.631,10.097,0.929,0.148,-0.29,-0.008,-0.135,-0.086,-0.043,-0.108,8.844,2263540,,
2025/11/14 15:56:32.501,-0.984,0.487,9.638,0.919,0.165,-0.278,0.002,-0.137,-0.09,-0.39,-0.179,8.592,2263640,,
2025/11/14 15:56:32.601,-1.992,-0.359,8.134,0.913,0.158,-0.271,-0.004,-0.136,-0.087,-0.692,-0.21,8.018,2263740,,
2025/11/14 15:56:32.701,-1.6,-1.216,7.147,0.941,0.17,-0.261,0.001,-0.146,-0.09,-0.964,-0.253,7.133,2263840,,
2025/11/14 15:56:32.802,0.142,-1.2,6.466,0.917,0.184,-0.25,-0.007,-0.133,-0.099,-1.061,-0.284,6.074,2263940,,
2025/11/14 15:56:32.901,0.822,-0.604,5.468,0.869,0.181,-0.177,-0.022,-0.081,-0.106,-0.952,-0.282,5.001,2264040,,
