Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/15 19:41:14.445,0.679,-0.039,3.029,1.485,-0.028,1.552,0.022,-0.028,-0.002,1.873,0.01,6.633,151830,,
2025/12/15 19:41:14.545,1.329,0.508,3.134,1.28,-0.031,1.439,0.022,-0.164,-0.001,1.757,-0.002,4.968,151930,,
2025/12/15 19:41:14.645,2.208,-0.031,3.891,1.06,-0.033,1.338,0.023,-0.283,-0.0,1.311,-0.016,3.745,152030,,
2025/12/15 19:41:14.747,1.52,-0.198,4.842,1.157,-0.132,1.368,-0.008,-0.236,-0.047,1.124,-0.179,3.521,152130,,
2025/12/15 19:41:14.845,0.634,0.358,6.314,1.318,-0.08,1.374,0.005,-0.149,-0.022,0.84,-0.102,3.84,152230,,
2025/12/15 19:41:14.945,0.817,-0.461,7.741,1.442,-0.085,1.319,-0.001,-0.069,-0.023,0.386,-0.093,4.668,152330,,
2025/12/15 19:41:15.045,-1.048,-0.289,6.334,1.521,-0.106,1.184,0.028,0.006,-0.041,-0.113,-0.124,5.72,152430,,
2025/12/15 19:41:15.145,-1.738,-0.303,5.313,1.511,-0.118,1.198,0.074,-0.001,-0.059,-0.836,-0.157,6.239,152530,,
2025/12/15 19:41:15.245,-2.163,-0.423,4.307,1.512,-0.097,1.204,0.128,-0.003,-0.069,-1.426,-0.181,6.07,152630,,
2025/12/15 19:41:15.345,-2.783,-0.268,3.328,1.56,-0.162,1.242,0.052,-0.013,-0.054,-1.875,-0.017,5.408,152730,,
2025/12/15 19:41:15.445,-1.806,0.839,3.532,1.598,-0.147,1.252,0.051,-0.024,-0.06,-2.054,0.024,4.598,152830,,
2025/12/15 19:41:15.545,-0.434,0.546,4.138,1.667,-0.18,1.257,0.047,-0.049,-0.048,-2.003,0.111,3.825,152930,,
2025/12/15 19:41:15.645,-0.923,-0.164,4.469,1.519,-0.172,1.385,0.03,0.069,-0.06,-1.316,0.114,3.693,153030,,
2025/12/15 19:41:15.748,-0.906,0.663,5.226,1.541,-0.175,1.332,0.023,0.031,-0.064,-0.741,0.102,3.959,153130,,
2025/12/15 19:41:15.845,0.301,-0.387,6.041,1.509,-0.139,1.113,0.134,-0.113,0.009,-0.281,0.203,4.675,153230,,
2025/12/15 19:41:15.945,-0.306,-0.298,5.115,1.479,-0.145,1.025,0.107,-0.172,-0.008,0.286,0.141,5.609,153330,,
2025/12/15 19:41:16.045,0.616,-0.077,4.821,1.304,-0.208,0.817,0.028,-0.34,-0.07,0.514,-0.048,5.913,153430,,
2025/12/15 19:41:16.145,0.358,-0.722,4.71,1.256,-0.183,0.784,0.048,-0.375,-0.049,0.841,-0.077,5.706,153530,,
2025/12/15 19:41:16.245,0.565,0.207,4.643,1.219,-0.126,0.766,0.082,-0.396,-0.007,1.006,-0.038,5.387,153630,,
2025/12/15 19:41:16.345,1.958,-0.035,5.448,1.058,-0.079,0.7,0.101,-0.475,0.016,0.774,-0.015,5.062,153730,,
2025/12/15 19:41:16.445,0.851,-0.145,5.673,1.276,-0.188,0.753,0.074,-0.368,-0.036,0.932,-0.222,5.114,153830,,
2025/12/15 19:41:16.545,1.263,0.025,6.218,1.373,-0.162,0.742,0.09,-0.312,-0.026,0.73,-0.209,5.292,153930,,
2025/12/15 19:41:16.645,0.208,0.21,6.376,1.418,-0.117,0.727,0.06,-0.284,0.004,0.301,-0.123,5.46,154030,,
2025/12/15 19:41:16.748,-0.184,-0.242,6.29,1.476,-0.153,0.597,0.112,-0.221,-0.026,-0.08,-0.197,5.652,154130,,
2025/12/15 19:41:16.845,-0.777,0.323,5.878,1.466,-0.142,0.564,0.101,-0.215,-0.019,-0.636,-0.134,5.756,154230,,
2025/12/15 19:41:16.945,0.043,-0.024,5.687,1.495,-0.166,0.589,0.065,-0.218,-0.013,-1.199,-0.03,5.651,154330,,
2025/12/15 19:41:17.045,-1.272,0.26,4.519,1.321,-0.078,0.429,0.155,-0.179,-0.032,-1.326,-0.108,5.459,154430,,
2025/12/15 19:41:17.145,-1.433,0.591,3.831,1.271,-0.125,0.415,0.126,-0.163,-0.022,-1.468,0.021,4.971,154530,,
2025/12/15 19:41:17.245,0.086,0.204,4.479,1.238,-0.122,0.417,0.142,-0.15,-0.015,-1.439,0.082,4.366,154630,,
