Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:09:49.440,-0.247,-0.594,6.791,0.029,-0.927,-0.09,1.926,-0.118,0.233,-0.053,-1.001,4.579,926200,,
2025/12/12 15:09:49.538,-0.138,0.06,7.33,0.038,-0.853,-0.081,1.981,-0.121,0.209,-0.098,-0.406,5.011,926300,,
2025/12/12 15:09:49.639,-0.047,1.11,6.85,0.028,-0.82,-0.085,1.992,-0.118,0.198,-0.117,0.315,5.681,926400,,
2025/12/12 15:09:49.738,-0.469,1.637,5.498,0.023,-0.812,-0.083,1.997,-0.115,0.196,-0.142,1.071,6.237,926500,,
2025/12/12 15:09:49.839,-0.083,1.814,4.938,0.01,-0.794,-0.081,1.979,-0.11,0.182,-0.151,1.672,6.387,926600,,
2025/12/12 15:09:49.938,0.764,1.87,4.948,-0.008,-0.779,-0.002,1.924,-0.061,0.147,-0.056,2.038,6.154,926700,,
2025/12/12 15:09:50.039,-0.197,1.559,4.441,0.001,-0.784,-0.037,1.871,-0.082,0.115,-0.117,2.141,5.638,926800,,
2025/12/12 15:09:50.138,-0.487,1.66,4.737,-0.03,-0.808,-0.103,1.809,-0.124,0.076,-0.224,1.946,5.129,926900,,
2025/12/12 15:09:50.239,-0.109,1.469,6.045,-0.034,-0.799,-0.101,1.817,-0.125,0.083,-0.232,1.612,4.854,927000,,
2025/12/12 15:09:50.338,-0.151,0.596,6.744,-0.013,-0.779,-0.086,1.83,-0.11,0.096,-0.187,1.09,4.973,927100,,
2025/12/12 15:09:50.441,-0.087,0.125,6.853,-0.016,-0.757,-0.088,1.844,-0.112,0.111,-0.174,0.459,5.401,927200,,
2025/12/12 15:09:50.538,-0.288,-0.718,6.125,-0.035,-0.716,-0.096,1.856,-0.122,0.131,-0.175,-0.206,5.786,927300,,
2025/12/12 15:09:50.639,-0.185,-1.156,5.126,-0.035,-0.727,-0.094,1.856,-0.123,0.126,-0.143,-0.892,5.961,927400,,
2025/12/12 15:09:50.738,-0.247,-0.844,4.363,-0.039,-0.664,-0.093,1.84,-0.125,0.162,-0.111,-1.341,5.811,927500,,
2025/12/12 15:09:50.839,-0.107,-1.698,4.11,-0.058,-0.627,-0.077,1.797,-0.138,0.192,-0.115,-1.599,5.475,927600,,
2025/12/12 15:09:50.938,-0.226,-0.957,4.277,-0.069,-0.611,-0.054,1.769,-0.151,0.208,-0.12,-1.664,5.121,927700,,
2025/12/12 15:09:51.039,0.003,-0.97,4.841,-0.068,-0.62,-0.066,1.704,-0.146,0.229,-0.077,-1.443,4.916,927800,,
