Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/04 17:59:01.760,1.172,-0.11,4.201,-1.666,-0.213,-0.135,-0.081,-0.37,0.042,1.3,0.262,6.064,679680,,
2025/12/04 17:59:01.859,1.026,0.368,4.225,-1.673,-0.206,-0.13,-0.087,-0.365,0.037,1.187,0.207,5.565,679780,,
2025/12/04 17:59:01.960,0.971,0.489,5.074,-1.664,-0.213,-0.132,-0.069,-0.368,0.049,0.794,0.163,4.952,679880,,
2025/12/04 17:59:02.059,1.371,-0.005,6.786,-1.662,-0.206,-0.065,-0.073,-0.328,0.046,0.321,0.068,4.62,679980,,
2025/12/04 17:59:02.160,0.211,-0.065,7.717,-1.582,-0.198,0.146,-0.041,-0.196,0.065,0.001,0.03,4.897,680080,,
2025/12/04 17:59:02.262,-0.518,0.058,7.286,-1.461,-0.191,0.31,-0.028,-0.081,0.074,-0.328,-0.022,5.697,680180,,
2025/12/04 17:59:02.359,-1.527,-0.333,6.287,-1.411,-0.187,0.352,-0.021,-0.043,0.078,-0.789,-0.069,6.38,680280,,
2025/12/04 17:59:02.459,-1.32,-0.254,5.739,-1.439,-0.188,0.341,-0.022,-0.058,0.077,-1.269,-0.106,6.517,680380,,
2025/12/04 17:59:02.560,-1.174,0.798,5.104,-1.451,-0.164,0.332,-0.017,-0.065,0.089,-1.526,-0.074,6.259,680480,,
2025/12/04 17:59:02.660,-1.626,-0.372,5.056,-1.503,-0.16,0.331,-0.022,-0.092,0.092,-1.594,-0.043,5.831,680580,,
2025/12/04 17:59:02.760,-1.327,-0.302,5.355,-1.457,-0.176,0.315,-0.004,-0.065,0.08,-1.267,-0.033,5.538,680680,,
2025/12/04 17:59:02.860,-0.743,0.39,6.052,-1.475,-0.18,0.349,0.004,-0.084,0.075,-0.874,0.015,5.353,680780,,
2025/12/04 17:59:02.960,-0.18,0.225,6.51,-1.476,-0.185,0.417,0.054,-0.109,0.056,-0.388,0.019,5.353,680880,,
2025/12/04 17:59:03.060,0.416,0.387,6.406,-1.45,-0.182,0.468,0.06,-0.125,0.054,0.161,0.089,5.544,680980,,
2025/12/04 17:59:03.160,0.467,0.333,5.828,-1.403,-0.19,0.506,0.053,-0.141,0.057,0.655,0.174,5.762,681080,,
2025/12/04 17:59:03.262,0.696,0.387,5.474,-1.31,-0.228,0.527,0.041,-0.175,0.071,0.961,0.281,5.862,681180,,
2025/12/04 17:59:03.360,1.369,0.347,5.527,-1.282,-0.242,0.519,0.05,-0.188,0.079,1.159,0.326,5.868,681280,,
2025/12/04 17:59:03.460,0.498,0.476,4.983,-1.229,-0.255,0.467,0.064,-0.23,0.09,1.059,0.34,5.74,681380,,
2025/12/04 17:59:03.559,0.919,0.111,5.665,-1.229,-0.263,0.428,0.095,-0.253,0.109,0.793,0.337,5.587,681480,,
2025/12/04 17:59:03.660,0.366,0.185,5.966,-1.216,-0.265,0.479,0.114,-0.222,0.12,0.478,0.283,5.521,681580,,
2025/12/04 17:59:03.760,0.435,0.868,6.756,-1.17,-0.255,0.554,0.126,-0.172,0.129,0.114,0.197,5.619,681680,,
2025/12/04 17:59:03.860,-0.521,0.035,6.635,-1.105,-0.21,0.611,0.163,-0.122,0.163,-0.275,0.172,5.895,681780,,
2025/12/04 17:59:03.960,-0.595,-0.289,6.857,-1.039,-0.214,0.654,0.162,-0.078,0.161,-0.638,0.059,6.225,681880,,
2025/12/04 17:59:04.060,-0.824,-0.363,6.741,-0.976,-0.197,0.676,0.17,-0.045,0.17,-0.927,-0.003,6.381,681980,,
2025/12/04 17:59:04.160,-0.802,-0.241,6.596,-0.925,-0.236,0.68,0.165,-0.018,0.15,-1.097,-0.122,6.402,682080,,
2025/12/04 17:59:04.262,-1.131,-0.767,6.167,-0.896,-0.276,0.669,0.182,-0.001,0.126,-1.119,-0.202,6.3,682180,,
2025/12/04 17:59:04.360,-0.8,-0.542,6.369,-0.891,-0.306,0.669,0.219,0.001,0.101,-1.001,-0.234,6.115,682280,,
2025/12/04 17:59:04.460,-0.381,-0.224,6.502,-0.888,-0.304,0.657,0.237,0.006,0.095,-0.706,-0.161,5.954,682380,,
2025/12/04 17:59:04.560,-0.359,-0.412,6.486,-0.885,-0.292,0.665,0.274,0.004,0.083,-0.323,-0.076,5.848,682480,,
2025/12/04 17:59:04.660,-0.4,0.047,6.605,-0.85,-0.27,0.703,0.296,-0.009,0.074,0.058,0.043,5.837,682580,,
2025/12/04 17:59:04.760,0.561,0.935,6.783,-0.793,-0.279,0.724,0.294,-0.029,0.077,0.409,0.216,5.907,682680,,
2025/12/04 17:59:04.860,0.445,0.459,6.226,-0.723,-0.304,0.728,0.301,-0.056,0.09,0.666,0.394,5.973,682780,,
2025/12/04 17:59:04.960,0.349,-0.025,5.973,-0.636,-0.296,0.663,0.296,-0.116,0.084,0.73,0.474,6.029,682880,,
2025/12/04 17:59:05.060,0.379,0.153,5.911,-0.61,-0.285,0.592,0.258,-0.161,0.061,0.688,0.445,6.04,682980,,
2025/12/04 17:59:05.160,0.17,0.475,6.057,-0.612,-0.291,0.535,0.19,-0.195,0.02,0.517,0.298,6.02,683080,,
2025/12/04 17:59:05.262,-0.107,0.425,5.814,-0.625,-0.275,0.506,0.223,-0.213,0.041,0.253,0.247,6.054,683180,,
2025/12/04 17:59:05.360,-0.415,0.002,5.977,-0.61,-0.249,0.525,0.252,-0.2,0.063,-0.008,0.176,6.112,683280,,
2025/12/04 17:59:05.460,-0.461,-0.001,6.145,-0.585,-0.188,0.544,0.296,-0.182,0.107,-0.285,0.151,6.153,683380,,
2025/12/04 17:59:05.560,-0.253,0.234,6.047,-0.49,-0.164,0.585,0.305,-0.129,0.119,-0.436,0.047,6.236,683480,,
2025/12/04 17:59:05.660,-0.457,0.254,6.109,-0.469,-0.159,0.584,0.303,-0.118,0.122,-0.655,-0.073,6.228,683580,,
2025/12/04 17:59:05.760,-0.323,-0.053,6.2,-0.436,-0.187,0.576,0.305,-0.099,0.107,-0.768,-0.208,6.242,683680,,
2025/12/04 17:59:05.860,-0.545,-0.049,6.347,-0.42,-0.19,0.562,0.307,-0.087,0.105,-0.79,-0.254,6.239,683780,,
2025/12/04 17:59:05.960,-0.608,-0.305,6.747,-0.409,-0.188,0.551,0.305,-0.079,0.106,-0.707,-0.232,6.246,683880,,
2025/12/04 17:59:06.059,-0.752,-0.289,6.447,-0.412,-0.184,0.518,0.29,-0.068,0.112,-0.501,-0.138,6.297,683980,,
2025/12/04 17:59:06.159,-0.168,-0.215,6.96,-0.4,-0.184,0.534,0.287,-0.073,0.113,-0.291,-0.02,6.329,684080,,
2025/12/04 17:59:06.262,0.237,0.263,7.174,-0.398,-0.167,0.537,0.296,-0.074,0.108,-0.027,0.09,6.368,684180,,
2025/12/04 17:59:06.360,0.127,0.82,6.826,-0.375,-0.18,0.543,0.298,-0.082,0.113,0.202,0.245,6.417,684280,,
2025/12/04 17:59:06.460,0.218,-0.057,6.587,-0.346,-0.141,0.531,0.284,-0.098,0.093,0.368,0.301,6.43,684380,,
2025/12/04 17:59:06.560,0.224,-0.15,6.591,-0.317,-0.124,0.485,0.252,-0.13,0.071,0.418,0.324,6.37,684480,,
2025/12/04 17:59:06.660,-0.01,0.179,6.636,-0.314,-0.123,0.447,0.227,-0.153,0.056,0.391,0.315,6.328,684580,,
2025/12/04 17:59:06.760,0.055,0.462,6.853,-0.33,-0.121,0.398,0.229,-0.183,0.058,0.244,0.297,6.305,684680,,
2025/12/04 17:59:06.860,0.331,0.272,6.872,-0.317,-0.108,0.416,0.241,-0.171,0.067,0.126,0.264,6.399,684780,,
2025/12/04 17:59:06.960,0.126,0.315,6.927,-0.327,-0.099,0.401,0.248,-0.181,0.074,-0.095,0.195,6.462,684880,,
