Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/04 17:24:08.449,-0.369,0.117,5.045,-1.275,0.256,0.691,-0.176,0.029,-0.1,-0.818,0.106,5.423,1557750,,
2025/12/04 17:24:08.550,-0.529,0.054,5.867,-1.252,0.261,0.813,-0.172,-0.01,-0.101,-0.445,-0.008,5.336,1557850,,
2025/12/04 17:24:08.649,0.786,-0.033,7.605,-1.191,0.235,0.884,-0.213,-0.034,-0.088,0.039,-0.073,5.569,1557950,,
2025/12/04 17:24:08.750,-0.008,-0.064,6.825,-1.085,0.216,0.945,-0.226,-0.07,-0.082,0.464,-0.172,6.037,1558050,,
2025/12/04 17:24:08.849,1.338,-0.506,6.653,-0.951,0.198,0.944,-0.227,-0.124,-0.075,0.763,-0.258,6.5,1558150,,
2025/12/04 17:24:08.952,0.712,-0.678,5.523,-0.881,0.179,0.912,-0.207,-0.163,-0.059,0.974,-0.297,6.666,1558250,,
2025/12/04 17:24:09.049,1.392,-0.14,5.503,-0.864,0.192,0.887,-0.224,-0.18,-0.072,1.057,-0.365,6.492,1558350,,
2025/12/04 17:24:09.150,0.863,-0.376,5.329,-0.863,0.201,0.92,-0.201,-0.16,-0.059,1.028,-0.324,6.134,1558450,,
2025/12/04 17:24:09.249,0.793,-0.539,5.717,-0.826,0.187,1.015,-0.25,-0.102,-0.088,0.914,-0.34,5.755,1558550,,
2025/12/04 17:24:09.350,0.074,-0.281,6.365,-0.789,0.181,1.055,-0.258,-0.071,-0.093,0.586,-0.259,5.49,1558650,,
2025/12/04 17:24:09.449,-0.257,-0.272,6.814,-0.693,0.148,1.126,-0.286,-0.002,-0.119,0.266,-0.207,5.561,1558750,,
2025/12/04 17:24:09.550,-0.806,0.438,6.866,-0.674,0.144,1.133,-0.288,0.006,-0.121,-0.241,-0.084,5.764,1558850,,
2025/12/04 17:24:09.649,-0.803,-0.727,6.168,-0.585,0.135,1.15,-0.294,0.052,-0.126,-0.606,0.028,6.008,1558950,,
2025/12/04 17:24:09.750,-0.898,-0.678,5.577,-0.585,0.123,1.143,-0.287,0.053,-0.134,-0.985,0.106,5.983,1559050,,
2025/12/04 17:24:09.849,-1.821,0.516,4.73,-0.561,0.141,1.121,-0.295,0.071,-0.123,-1.15,0.194,5.815,1559150,,
2025/12/04 17:24:09.952,-1.36,-0.295,4.551,-0.569,0.141,1.146,-0.31,0.059,-0.118,-1.2,0.219,5.564,1559250,,
2025/12/04 17:24:10.050,-1.808,0.325,4.591,-0.563,0.139,1.184,-0.357,0.046,-0.101,-1.056,0.235,5.347,1559350,,
2025/12/04 17:24:10.150,-0.617,0.123,5.284,-0.538,0.129,1.215,-0.369,0.036,-0.097,-0.733,0.153,5.289,1559450,,
2025/12/04 17:24:10.249,-0.663,0.006,5.747,-0.511,0.12,1.233,-0.378,0.027,-0.094,-0.286,0.031,5.376,1559550,,
2025/12/04 17:24:10.350,0.056,-0.082,6.127,-0.438,0.098,1.246,-0.393,-0.0,-0.088,0.153,-0.097,5.645,1559650,,
