Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/15 19:59:36.853,0.059,-0.05,8.485,1.955,-0.221,0.749,0.071,-0.156,-0.047,0.182,-0.22,5.181,423670,,
2025/12/15 19:59:36.953,-0.8,-0.386,7.306,1.965,-0.221,0.67,0.081,-0.125,-0.05,-0.465,-0.167,5.84,423770,,
2025/12/15 19:59:37.054,-1.742,0.208,5.524,1.955,-0.22,0.639,0.065,-0.115,-0.044,-1.136,-0.064,6.298,423870,,
2025/12/15 19:59:37.153,-1.947,0.761,4.444,1.949,-0.23,0.63,0.054,-0.112,-0.041,-1.692,0.036,6.247,423970,,
2025/12/15 19:59:37.254,-2.199,0.671,3.715,1.954,-0.242,0.635,0.05,-0.114,-0.037,-2.062,0.127,5.819,424070,,
2025/12/15 19:59:37.356,-2.073,0.288,3.211,1.979,-0.279,0.642,0.041,-0.122,-0.024,-2.202,0.233,5.228,424170,,
2025/12/15 19:59:37.454,-0.937,0.64,4.169,1.985,-0.292,0.645,0.038,-0.124,-0.02,-2.045,0.274,4.603,424270,,
2025/12/15 19:59:37.553,-0.632,0.895,5.212,1.956,-0.299,0.684,0.049,-0.095,-0.012,-1.555,0.278,4.202,424370,,
2025/12/15 19:59:37.654,-0.418,0.497,6.152,1.95,-0.302,0.678,0.094,-0.098,0.014,-0.938,0.29,4.237,424470,,
2025/12/15 19:59:37.753,0.504,0.002,7.067,1.938,-0.3,0.626,0.101,-0.129,0.019,-0.287,0.227,4.747,424570,,
2025/12/15 19:59:37.854,0.982,0.305,6.138,1.919,-0.303,0.564,0.088,-0.167,0.011,0.346,0.107,5.545,424670,,
2025/12/15 19:59:37.953,0.846,-0.419,5.059,1.85,-0.269,0.474,0.123,-0.231,0.039,0.83,0.066,6.053,424770,,
2025/12/15 19:59:38.054,0.844,-0.555,4.46,1.783,-0.294,0.421,0.101,-0.281,0.019,1.191,-0.092,6.06,424870,,
2025/12/15 19:59:38.153,1.074,-0.736,4.235,1.757,-0.322,0.406,0.087,-0.297,0.003,1.437,-0.236,5.798,424970,,
2025/12/15 19:59:38.254,0.676,-0.279,4.572,1.666,-0.313,0.373,0.092,-0.346,0.007,1.355,-0.289,5.432,425070,,
2025/12/15 19:59:38.356,0.583,-0.112,4.789,1.629,-0.335,0.374,0.092,-0.366,-0.004,1.139,-0.352,5.261,425170,,
2025/12/15 19:59:38.454,0.728,-0.508,5.694,1.656,-0.312,0.37,0.091,-0.351,0.008,0.821,-0.302,5.27,425270,,
2025/12/15 19:59:38.553,0.749,0.222,6.693,1.676,-0.316,0.351,0.104,-0.336,0.002,0.349,-0.266,5.348,425370,,
2025/12/15 19:59:38.654,0.25,-0.154,6.626,1.692,-0.317,0.309,0.104,-0.315,0.002,-0.188,-0.179,5.536,425470,,
2025/12/15 19:59:38.753,-0.558,0.327,6.343,1.69,-0.316,0.255,0.107,-0.296,0.001,-0.734,-0.071,5.743,425570,,
2025/12/15 19:59:38.854,-1.051,0.573,5.803,1.654,-0.319,0.192,0.111,-0.278,0.001,-1.202,0.046,5.837,425670,,
2025/12/15 19:59:38.953,-1.206,-0.233,4.891,1.588,-0.294,0.15,0.139,-0.257,-0.008,-1.538,0.117,5.77,425770,,
2025/12/15 19:59:39.054,-1.491,-0.102,4.152,1.549,-0.297,0.154,0.136,-0.241,-0.007,-1.742,0.22,5.457,425870,,
2025/12/15 19:59:39.153,-1.927,0.374,3.93,1.53,-0.295,0.165,0.136,-0.23,-0.008,-1.761,0.286,4.997,425970,,
2025/12/15 19:59:39.254,-2.047,0.099,4.054,1.493,-0.283,0.198,0.136,-0.202,-0.012,-1.532,0.301,4.594,426070,,
2025/12/15 19:59:39.356,-1.109,-0.344,4.656,1.478,-0.286,0.244,0.149,-0.173,-0.003,-1.121,0.31,4.363,426170,,
2025/12/15 19:59:39.454,-0.891,-0.022,5.425,1.479,-0.295,0.21,0.124,-0.194,-0.019,-0.695,0.228,4.314,426270,,
2025/12/15 19:59:39.553,-1.18,-0.056,5.522,1.442,-0.289,0.134,0.149,-0.243,-0.004,-0.282,0.178,4.609,426370,,
2025/12/15 19:59:39.654,0.143,-0.131,5.689,1.383,-0.276,0.075,0.165,-0.29,0.007,0.116,0.101,5.134,426470,,
2025/12/15 19:59:39.753,1.614,0.032,5.697,1.351,-0.302,0.05,0.148,-0.314,-0.011,0.498,-0.062,5.512,426570,,
2025/12/15 19:59:39.854,1.616,-0.197,5.578,1.321,-0.293,0.032,0.156,-0.333,-0.003,0.775,-0.156,5.662,426670,,
2025/12/15 19:59:39.953,1.295,-0.066,5.1,1.301,-0.234,0.027,0.18,-0.342,0.028,0.928,-0.157,5.718,426770,,
2025/12/15 19:59:40.054,1.135,-0.289,5.325,1.297,-0.243,0.031,0.177,-0.345,0.024,0.936,-0.24,5.675,426870,,
