Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/11/14 15:33:53.154,0.946,-0.798,4.474,0.07,0.324,-2.069,0.453,-0.285,0.014,1.598,-0.247,6.592,904350,,
2025/11/14 15:33:53.254,0.615,-0.732,4.128,0.07,0.322,-2.039,0.48,-0.295,0.004,1.741,-0.44,6.368,904450,,
2025/11/14 15:33:53.354,1.448,-0.6,5.045,0.095,0.301,-1.989,0.429,-0.309,0.018,1.592,-0.472,6.054,904550,,
2025/11/14 15:33:53.454,2.106,0.183,6.277,0.114,0.289,-1.97,0.422,-0.315,0.021,1.23,-0.49,5.794,904650,,
2025/11/14 15:33:53.554,0.658,-0.028,6.808,0.022,0.324,-2.027,0.455,-0.285,0.009,0.84,-0.515,5.811,904750,,
2025/11/14 15:33:53.654,-0.148,-0.952,8.145,-0.027,0.321,-2.029,0.457,-0.266,0.011,0.245,-0.41,5.986,904850,,
2025/11/14 15:33:53.754,-0.097,0.268,8.089,-0.072,0.369,-2.006,0.426,-0.24,-0.018,-0.401,-0.335,6.427,904950,,
2025/11/14 15:33:53.854,-0.517,-0.125,7.062,-0.148,0.373,-1.932,0.406,-0.18,-0.029,-0.931,-0.176,6.95,905050,,
2025/11/14 15:33:53.956,-0.867,-1.441,6.351,-0.167,0.358,-1.89,0.443,-0.152,-0.005,-1.438,0.08,7.108,905150,,
2025/11/14 15:33:54.054,-1.925,-0.235,4.901,-0.15,0.344,-1.76,0.39,-0.073,-0.038,-1.651,0.196,6.921,905250,,
2025/11/14 15:33:54.154,-1.594,0.054,4.715,-0.159,0.304,-1.746,0.316,-0.066,-0.087,-1.809,0.222,6.393,905350,,
2025/11/14 15:33:54.254,-2.057,0.041,4.604,-0.176,0.341,-1.764,0.356,-0.08,-0.055,-1.804,0.393,5.674,905450,,
2025/11/14 15:33:54.354,-1.507,1.555,4.982,-0.156,0.305,-1.745,0.322,-0.064,-0.085,-1.506,0.358,5.168,905550,,
2025/11/14 15:33:54.454,-0.299,1.321,5.832,-0.187,0.353,-1.761,0.345,-0.082,-0.057,-1.118,0.421,4.879,905650,,
2025/11/14 15:33:54.554,0.105,0.17,6.21,-0.18,0.345,-1.759,0.342,-0.079,-0.06,-0.537,0.335,4.962,905750,,
2025/11/14 15:33:54.654,0.008,-0.908,6.648,-0.285,0.372,-1.771,0.344,-0.133,-0.047,-0.064,0.249,5.2,905850,,
2025/11/14 15:33:54.754,-0.334,-0.121,5.985,-0.317,0.368,-1.762,0.342,-0.152,-0.048,0.508,0.083,5.643,905950,,
2025/11/14 15:33:54.854,0.612,0.843,5.923,-0.387,0.346,-1.7,0.355,-0.203,-0.062,0.906,-0.132,5.943,906050,,
2025/11/14 15:33:54.956,1.113,0.393,5.452,-0.425,0.356,-1.616,0.325,-0.246,-0.048,1.173,-0.255,6.105,906150,,
2025/11/14 15:33:55.054,1.181,-1.552,5.61,-0.415,0.351,-1.465,0.262,-0.297,-0.027,1.19,-0.31,6.125,906250,,
2025/11/14 15:33:55.154,0.143,-0.488,5.145,-0.406,0.344,-1.448,0.239,-0.302,-0.021,1.186,-0.379,6.162,906350,,
2025/11/14 15:33:55.254,1.35,0.062,6.319,-0.388,0.345,-1.441,0.247,-0.307,-0.023,0.994,-0.442,6.153,906450,,
2025/11/14 15:33:55.354,-0.257,-0.198,6.179,-0.416,0.307,-1.447,0.24,-0.297,-0.009,0.692,-0.39,6.194,906550,,
2025/11/14 15:33:55.454,0.466,0.541,7.12,-0.437,0.316,-1.449,0.25,-0.289,-0.01,0.259,-0.345,6.278,906650,,
2025/11/14 15:33:55.554,0.177,-0.081,7.056,-0.475,0.329,-1.413,0.239,-0.26,-0.019,-0.192,-0.27,6.433,906750,,
2025/11/14 15:33:55.654,-0.141,-1.209,7.121,-0.508,0.346,-1.355,0.2,-0.22,-0.044,-0.618,-0.203,6.585,906850,,
2025/11/14 15:33:55.754,-1.363,-0.415,6.574,-0.514,0.348,-1.227,0.187,-0.141,-0.053,-0.891,-0.086,6.707,906950,,
2025/11/14 15:33:55.854,-1.789,1.291,5.783,-0.497,0.327,-1.142,0.094,-0.09,-0.11,-1.098,-0.088,6.708,907050,,
2025/11/14 15:33:55.956,-1.152,-0.011,5.908,-0.485,0.384,-1.125,0.166,-0.078,-0.058,-1.261,0.16,6.43,907150,,
2025/11/14 15:33:56.054,-0.805,0.384,5.262,-0.472,0.356,-1.118,0.143,-0.069,-0.08,-1.278,0.215,6.034,907250,,
2025/11/14 15:33:56.154,-0.665,-0.318,5.527,-0.456,0.378,-1.103,0.159,-0.055,-0.064,-1.122,0.326,5.693,907350,,
2025/11/14 15:33:56.254,-1.985,0.018,4.984,-0.419,0.352,-1.088,0.15,-0.036,-0.077,-0.807,0.304,5.452,907450,,
2025/11/14 15:33:56.354,0.063,0.03,6.452,-0.475,0.359,-1.096,0.15,-0.065,-0.074,-0.537,0.284,5.336,907550,,
2025/11/14 15:33:56.454,0.566,0.327,6.549,-0.502,0.285,-1.1,0.161,-0.078,-0.116,-0.159,0.093,5.45,907650,,
2025/11/14 15:33:56.554,0.226,0.445,6.484,-0.577,0.335,-1.056,0.142,-0.127,-0.085,0.134,0.073,5.651,907750,,
2025/11/14 15:33:56.654,0.446,-1.04,5.964,-0.568,0.33,-1.068,0.129,-0.119,-0.084,0.552,-0.042,5.964,907850,,
2025/11/14 15:33:56.754,-0.704,-0.408,4.807,-0.594,0.333,-0.984,0.137,-0.157,-0.085,0.737,-0.176,6.062,907950,,
2025/11/14 15:33:56.854,0.142,0.137,5.091,-0.568,0.335,-0.92,0.127,-0.176,-0.082,0.847,-0.281,6.079,908050,,
2025/11/14 15:33:56.956,0.739,-0.421,5.507,-0.529,0.339,-0.869,0.126,-0.192,-0.082,0.824,-0.375,6.002,908150,,
2025/11/14 15:33:57.054,0.484,-0.825,5.884,-0.498,0.322,-0.845,0.114,-0.202,-0.077,0.699,-0.405,5.99,908250,,
2025/11/14 15:33:57.154,0.858,-0.347,6.499,-0.506,0.326,-0.85,0.121,-0.2,-0.077,0.516,-0.424,6.058,908350,,
2025/11/14 15:33:57.254,0.701,-0.62,6.746,-0.542,0.387,-0.84,0.109,-0.182,-0.105,0.286,-0.481,6.201,908450,,
2025/11/14 15:33:57.354,0.756,1.212,7.107,-0.541,0.354,-0.842,0.124,-0.183,-0.087,-0.055,-0.354,6.351,908550,,
2025/11/14 15:33:57.454,-0.468,0.047,6.498,-0.573,0.365,-0.707,0.135,-0.098,-0.082,-0.206,-0.24,6.574,908650,,
2025/11/14 15:33:57.554,-2.032,0.373,6.023,-0.57,0.361,-0.777,0.206,-0.14,-0.039,-0.625,0.004,6.573,908750,,
2025/11/14 15:33:57.654,-1.184,-0.089,5.907,-0.574,0.387,-0.777,0.245,-0.141,-0.013,-0.887,0.21,6.581,908850,,
2025/11/14 15:33:57.754,-0.561,0.042,5.571,-0.582,0.392,-0.792,0.248,-0.151,-0.011,-1.082,0.343,6.328,908950,,
2025/11/14 15:33:57.854,-0.497,-0.165,5.287,-0.533,0.32,-0.749,0.19,-0.113,-0.065,-1.032,0.282,5.976,909050,,
