Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress,phase_error_rad,estimated_freq_Hz,phase_correction_rad,PhaseCorr_raw
2025/12/26 17:24:33.186,-0.554,-0.106,5.199,1.218,-0.097,-0.542,0.119,-0.215,0.074,-1.528,0.222,5.088,503640,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.286,-0.905,0.585,5.593,1.219,-0.101,-0.508,0.147,-0.194,0.091,-1.312,0.27,4.827,503740,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.386,-0.878,0.287,5.432,1.25,-0.099,-0.42,0.119,-0.139,0.074,-0.852,0.214,4.847,503840,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.487,-0.323,0.07,6.144,1.216,-0.089,-0.485,0.133,-0.182,0.084,-0.524,0.206,4.944,503940,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.586,-0.483,0.326,5.542,1.202,-0.097,-0.504,0.123,-0.195,0.077,-0.085,0.141,5.26,504040,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.689,0.173,-0.343,5.276,1.168,-0.096,-0.529,0.118,-0.219,0.074,0.299,0.081,5.493,504140,,,,,,PhaseCorr: err=0.0001 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.786,-0.127,0.677,5.013,1.071,-0.093,-0.576,0.122,-0.275,0.077,0.523,0.033,5.55,504240,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.886,0.556,-0.221,5.042,1.043,-0.079,-0.58,0.118,-0.29,0.084,0.752,0.005,5.597,504340,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:33.986,0.752,0.612,5.199,0.998,-0.079,-0.576,0.12,-0.314,0.084,0.824,-0.033,5.568,504440,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.086,0.519,-0.083,5.116,0.966,-0.062,-0.557,0.1,-0.335,0.097,0.757,-0.016,5.551,504540,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.186,0.271,0.172,5.63,0.952,-0.078,-0.538,0.123,-0.347,0.083,0.567,-0.061,5.535,504640,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.286,-0.063,-0.487,5.885,0.951,-0.08,-0.522,0.084,-0.353,0.096,0.275,0.002,5.594,504740,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.386,-0.946,0.263,5.654,0.951,-0.069,-0.52,0.115,-0.354,0.087,-0.088,-0.006,5.673,504840,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.486,-0.82,-0.329,5.756,0.951,-0.077,-0.53,0.112,-0.352,0.089,-0.466,0.041,5.766,504940,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.586,-1.248,0.206,5.37,0.946,-0.062,-0.535,0.116,-0.35,0.084,-0.839,0.071,5.766,505040,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.690,-0.893,-0.219,5.511,0.88,-0.078,-0.554,0.114,-0.328,0.089,-1.06,0.139,5.773,505140,,,,,,PhaseCorr: err=0.0002 est_freq=0.5794 (no correcti
2025/12/26 17:24:34.786,-1.089,0.091,4.98,0.849,-0.066,-0.543,0.101,-0.312,0.08,-1.229,0.16,5.628,505240,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:34.887,-0.2,0.022,5.246,0.786,-0.068,-0.482,0.101,-0.263,0.08,-1.184,0.189,5.495,505340,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:34.986,-0.341,0.33,5.143,0.773,-0.067,-0.427,0.077,-0.228,0.066,-1.055,0.168,5.259,505440,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.087,0.224,-0.034,5.558,0.777,-0.071,-0.36,0.066,-0.188,0.059,-0.79,0.146,5.137,505540,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.186,-0.265,0.13,5.093,0.781,-0.08,-0.355,0.057,-0.184,0.053,-0.521,0.109,5.045,505640,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.287,0.163,-0.293,5.281,0.767,-0.068,-0.362,0.071,-0.193,0.063,-0.241,0.103,5.111,505740,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.386,-0.51,0.164,5.071,0.749,-0.105,-0.373,0.049,-0.205,0.039,0.034,0.003,5.128,505840,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.487,0.156,-0.744,5.335,0.722,-0.058,-0.38,0.073,-0.217,0.066,0.262,0.046,5.257,505940,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.586,-0.598,-0.008,4.949,0.682,-0.079,-0.39,0.071,-0.238,0.056,0.405,-0.016,5.311,506040,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.688,-0.335,-0.485,5.079,0.681,-0.064,-0.383,0.067,-0.239,0.065,0.518,-0.014,5.435,506140,,,,,,PhaseCorr: err=0.0028 est_freq=0.5798 (no correcti
2025/12/26 17:24:35.786,-0.254,-0.383,5.419,0.63,-0.073,-0.362,0.076,-0.271,0.058,0.451,-0.046,5.454,506240,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:35.887,-0.297,-0.219,5.124,0.651,-0.064,-0.384,0.067,-0.254,0.065,0.421,-0.026,5.597,506340,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:35.986,0.095,-0.138,5.719,0.641,-0.065,-0.355,0.071,-0.268,0.063,0.209,-0.019,5.611,506440,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.087,-0.141,-0.112,5.716,0.637,-0.075,-0.343,0.02,-0.273,0.079,-0.032,0.071,5.644,506540,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.186,-0.603,0.86,5.846,0.636,-0.058,-0.337,0.051,-0.274,0.07,-0.3,0.055,5.667,506640,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.286,-0.767,0.168,5.69,0.633,-0.056,-0.338,0.059,-0.273,0.069,-0.548,0.075,5.692,506740,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.386,-0.294,0.57,5.918,0.631,-0.058,-0.336,0.055,-0.272,0.069,-0.766,0.107,5.648,506840,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.487,-0.618,0.446,5.304,0.577,-0.043,-0.313,0.057,-0.243,0.064,-0.833,0.11,5.588,506940,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.586,0.121,0.404,5.977,0.583,-0.066,-0.309,0.077,-0.243,0.082,-0.901,0.174,5.426,507040,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.690,-0.318,0.42,5.328,0.571,-0.053,-0.228,0.049,-0.193,0.063,-0.763,0.136,5.36,507140,,,,,,PhaseCorr: err=-0.0008 est_freq=0.5792 (no correct
2025/12/26 17:24:36.786,0.173,0.821,5.67,0.573,-0.05,-0.227,0.046,-0.192,0.061,-0.64,0.124,5.259,507240,,,,,,PhaseCorr: err=0.0036 est_freq=0.5799 (no correcti
2025/12/26 17:24:36.887,-0.12,0.062,5.152,0.575,-0.031,-0.233,0.087,-0.195,0.088,-0.47,0.178,5.186,507340,,,,,,PhaseCorr: err=0.0036 est_freq=0.5799 (no correcti
