Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:09:25.037,-0.563,0.113,6.448,-2.3,-0.189,0.178,-0.019,-0.037,0.097,-1.007,0.048,4.131,901800,,
2025/12/12 15:09:25.137,-1.117,-0.06,7.296,-2.294,-0.187,0.286,0.005,-0.073,0.089,-0.334,0.085,4.578,901900,,
2025/12/12 15:09:25.237,0.939,0.227,7.055,-2.203,-0.184,0.458,0.01,-0.123,0.087,0.248,0.145,5.376,902000,,
2025/12/12 15:09:25.337,1.29,0.27,5.251,-2.176,-0.19,0.487,0.005,-0.133,0.089,0.971,0.214,6.125,902100,,
2025/12/12 15:09:25.439,1.318,0.222,4.154,-2.131,-0.199,0.508,-0.002,-0.148,0.092,1.519,0.272,6.295,902200,,
2025/12/12 15:09:25.537,1.233,0.193,3.866,-2.088,-0.179,0.5,-0.006,-0.167,0.083,1.857,0.263,6.045,902300,,
2025/12/12 15:09:25.637,2.191,0.196,4.242,-2.081,-0.185,0.492,-0.005,-0.174,0.086,1.964,0.264,5.612,902400,,
2025/12/12 15:09:25.737,1.97,0.733,4.438,-2.051,-0.194,0.467,0.017,-0.194,0.1,1.742,0.268,5.031,902500,,
2025/12/12 15:09:25.837,2.398,0.219,6.082,-2.047,-0.188,0.478,0.025,-0.187,0.105,1.342,0.23,4.568,902600,,
2025/12/12 15:09:25.937,0.64,0.569,6.672,-2.01,-0.191,0.57,0.013,-0.13,0.098,0.861,0.153,4.499,902700,,
2025/12/12 15:09:26.037,-0.36,-0.175,7.332,-1.991,-0.155,0.609,0.068,-0.105,0.136,0.215,0.182,4.909,902800,,
2025/12/12 15:09:26.137,-0.593,-0.096,6.531,-1.941,-0.179,0.66,0.047,-0.063,0.117,-0.434,0.07,5.616,902900,,
2025/12/12 15:09:26.237,-1.533,0.744,5.441,-1.896,-0.134,0.689,0.074,-0.033,0.145,-1.039,0.09,6.023,903000,,
2025/12/12 15:09:26.337,-2.204,-0.096,4.14,-1.878,-0.135,0.698,0.07,-0.022,0.144,-1.57,0.039,5.944,903100,,
2025/12/12 15:09:26.441,-2.149,-0.572,3.504,-1.875,-0.156,0.7,0.071,-0.021,0.133,-1.916,-0.025,5.53,903200,,
2025/12/12 15:09:26.537,-1.841,-0.08,3.478,-1.878,-0.186,0.698,0.079,-0.022,0.116,-2.024,-0.086,4.987,903300,,
2025/12/12 15:09:26.637,-0.892,0.181,4.513,-1.848,-0.183,0.679,0.076,-0.002,0.118,-1.814,-0.067,4.596,903400,,
2025/12/12 15:09:26.737,-0.335,-0.142,5.106,-1.828,-0.178,0.626,0.062,0.022,0.124,-1.332,-0.008,4.47,903500,,
2025/12/12 15:09:26.837,-0.781,0.26,5.45,-1.833,-0.175,0.674,0.051,0.004,0.129,-0.826,0.062,4.534,903600,,
2025/12/12 15:09:26.937,-0.166,-0.289,5.989,-1.807,-0.169,0.722,0.071,-0.008,0.123,-0.202,0.101,4.85,903700,,
2025/12/12 15:09:27.037,0.367,0.2,5.761,-1.744,-0.144,0.794,0.095,-0.032,0.114,0.374,0.124,5.246,903800,,
2025/12/12 15:09:27.137,0.548,0.424,5.261,-1.665,-0.156,0.835,0.093,-0.058,0.118,0.904,0.201,5.572,903900,,
2025/12/12 15:09:27.237,1.177,-0.591,4.901,-1.556,-0.135,0.837,0.098,-0.101,0.111,1.255,0.223,5.686,904000,,
2025/12/12 15:09:27.337,1.193,-0.118,4.643,-1.506,-0.121,0.812,0.078,-0.13,0.097,1.489,0.23,5.637,904100,,
