Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/10 17:06:42.879,-0.655,0.26,6.174,0.118,1.106,0.07,0.918,-0.216,0.001,-0.147,0.518,5.488,675640,,
2025/12/10 17:06:42.979,-0.504,-0.77,6.021,0.12,1.102,0.097,0.927,-0.222,-0.002,-0.221,-0.025,5.82,675740,,
2025/12/10 17:06:43.079,-0.934,-0.452,5.492,0.124,1.109,0.117,0.93,-0.226,-0.0,-0.3,-0.553,5.984,675840,,
2025/12/10 17:06:43.179,-0.157,-1.004,5.418,0.131,1.067,0.075,0.797,-0.214,0.025,-0.298,-0.845,6.034,675940,,
2025/12/10 17:06:43.279,-0.142,-0.78,4.869,0.123,1.046,0.066,0.773,-0.212,0.029,-0.326,-1.121,5.818,676040,,
2025/12/10 17:06:43.382,0.538,-1.195,5.196,0.184,0.962,0.101,0.732,-0.226,0.05,-0.431,-1.153,5.426,676140,,
2025/12/10 17:06:43.479,-0.381,-1.236,5.152,0.084,1.049,0.114,0.743,-0.182,0.021,-0.303,-1.225,5.216,676240,,
2025/12/10 17:06:43.579,-0.595,-1.081,5.692,0.131,1.048,0.085,0.734,-0.213,0.016,-0.344,-1.026,5.123,676340,,
2025/12/10 17:06:43.679,-0.751,-0.498,5.919,0.133,1.049,0.079,0.714,-0.218,0.004,-0.312,-0.699,5.359,676440,,
2025/12/10 17:06:43.779,-0.701,-0.557,6.566,0.131,1.034,0.021,0.723,-0.257,0.01,-0.337,-0.238,5.82,676540,,
2025/12/10 17:06:43.879,-0.702,0.979,6.372,0.155,0.99,0.094,0.631,-0.208,-0.054,-0.188,0.103,6.516,676640,,
2025/12/10 17:06:43.979,0.185,0.969,6.244,0.137,1.028,0.079,0.656,-0.222,-0.028,-0.151,0.57,6.754,676740,,
2025/12/10 17:06:44.079,0.102,1.128,5.606,0.132,1.026,0.07,0.655,-0.228,-0.032,-0.119,0.914,6.561,676840,,
2025/12/10 17:06:44.179,0.775,0.937,5.633,0.09,1.03,0.052,0.656,-0.251,-0.031,-0.152,1.133,6.083,676940,,
2025/12/10 17:06:44.279,0.026,1.048,5.179,0.199,0.902,0.1,0.599,-0.193,-0.098,0.029,0.98,5.676,677040,,
2025/12/10 17:06:44.382,-0.56,0.927,5.51,0.188,1.074,0.097,0.655,-0.198,-0.016,-0.0,1.127,5.504,677140,,
2025/12/10 17:06:44.479,-0.05,0.248,5.899,0.201,1.09,0.099,0.653,-0.192,-0.007,-0.022,0.878,5.47,677240,,
2025/12/10 17:06:44.579,-0.048,0.895,5.953,0.214,1.106,0.079,0.65,-0.18,0.002,-0.054,0.505,5.543,677340,,
2025/12/10 17:06:44.679,0.458,-0.105,6.114,0.227,1.144,0.06,0.55,-0.168,0.047,-0.099,0.185,5.627,677440,,
2025/12/10 17:06:44.779,0.033,-0.835,5.753,0.232,1.142,0.002,0.593,-0.15,0.034,-0.11,-0.343,5.72,677540,,
2025/12/10 17:06:44.879,-0.504,-0.518,5.051,0.242,1.119,0.028,0.519,-0.154,0.048,-0.229,-0.679,5.701,677640,,
2025/12/10 17:06:44.979,-0.737,-0.761,4.734,0.227,1.084,0.005,0.484,-0.15,0.056,-0.278,-0.938,5.605,677740,,
2025/12/10 17:06:45.079,-0.054,-0.559,4.735,0.167,1.045,-0.023,0.453,-0.136,0.064,-0.258,-1.05,5.469,677840,,
2025/12/10 17:06:45.179,-0.117,-0.531,5.07,0.127,0.943,-0.019,0.484,-0.118,0.116,-0.237,-0.915,5.234,677940,,
2025/12/10 17:06:45.279,0.238,-0.628,5.751,0.129,0.927,-0.035,0.505,-0.128,0.133,-0.26,-0.717,5.099,678040,,
2025/12/10 17:06:45.384,0.102,-0.395,5.802,0.125,0.939,-0.008,0.44,-0.11,0.089,-0.224,-0.515,5.246,678140,,
2025/12/10 17:06:45.479,0.201,0.178,6.115,0.128,0.924,0.09,0.392,-0.044,0.057,-0.055,-0.221,5.69,678240,,
2025/12/10 17:06:45.579,0.225,0.628,5.876,0.134,0.94,0.101,0.429,-0.036,0.083,0.019,0.209,5.979,678340,,
2025/12/10 17:06:45.679,0.148,0.562,6.052,0.071,0.955,0.036,0.435,-0.09,0.093,-0.048,0.595,6.109,678440,,
2025/12/10 17:06:45.779,0.374,0.758,5.96,0.066,0.788,0.032,0.316,-0.095,-0.041,-0.038,0.585,6.104,678540,,
2025/12/10 17:06:45.879,0.243,1.001,5.95,0.043,0.83,0.02,0.341,-0.11,-0.011,-0.064,0.829,5.905,678640,,
2025/12/10 17:06:45.979,0.209,0.712,6.022,0.059,0.901,0.026,0.37,-0.101,0.022,-0.036,0.996,5.882,678740,,
2025/12/10 17:06:46.079,0.105,1.061,6.087,0.047,0.863,0.018,0.357,-0.106,0.005,-0.059,0.866,5.854,678840,,
2025/12/10 17:06:46.179,-0.11,0.032,5.918,0.079,0.805,-0.002,0.361,-0.084,-0.027,-0.01,0.582,5.837,678940,,
2025/12/10 17:06:46.279,-0.075,-0.878,5.918,0.069,0.863,-0.0,0.344,-0.09,0.007,-0.04,0.395,5.81,679040,,
2025/12/10 17:06:46.382,0.079,0.268,5.707,0.056,0.864,0.029,0.384,-0.104,-0.001,-0.106,0.011,5.715,679140,,
2025/12/10 17:06:46.479,0.044,-0.448,5.425,0.056,0.844,-0.058,0.328,-0.079,0.007,-0.018,-0.274,5.714,679240,,
2025/12/10 17:06:46.579,0.562,-0.193,5.519,0.069,0.822,-0.039,0.295,-0.082,0.012,-0.066,-0.527,5.558,679340,,
2025/12/10 17:06:46.679,0.218,-1.179,5.237,0.026,0.83,-0.059,0.309,-0.072,0.011,-0.043,-0.76,5.385,679440,,
2025/12/10 17:06:46.779,-0.224,-1.132,5.116,0.036,0.75,-0.053,0.276,-0.074,0.032,-0.081,-0.758,5.263,679540,,
2025/12/10 17:06:46.879,-0.626,-0.722,5.24,0.039,0.756,-0.05,0.268,-0.073,0.026,-0.106,-0.757,5.162,679640,,
2025/12/10 17:06:46.979,-0.499,-0.233,5.333,0.016,0.738,0.001,0.291,-0.036,0.044,-0.052,-0.593,5.254,679740,,
2025/12/10 17:06:47.079,-0.396,0.181,5.338,0.029,0.755,-0.052,0.276,-0.074,0.033,-0.129,-0.41,5.337,679840,,
2025/12/10 17:06:47.179,0.163,-0.208,5.804,0.027,0.765,-0.043,0.279,-0.069,0.036,-0.12,-0.131,5.534,679940,,
2025/12/10 17:06:47.279,-0.592,0.389,5.436,0.051,0.703,-0.001,0.201,-0.038,-0.024,-0.049,0.046,5.69,680040,,
2025/12/10 17:06:47.383,-0.39,0.158,5.605,0.026,0.722,-0.01,0.219,-0.062,-0.007,-0.067,0.349,5.824,680140,,
2025/12/10 17:06:47.479,0.014,0.958,5.874,0.026,0.634,-0.01,0.169,-0.06,-0.068,-0.054,0.418,5.806,680240,,
2025/12/10 17:06:47.579,-0.619,0.507,5.376,-0.0,0.717,-0.022,0.206,-0.075,-0.024,-0.088,0.678,5.781,680340,,
2025/12/10 17:06:47.679,-0.127,0.353,5.777,-0.113,0.654,-0.057,0.183,-0.128,-0.054,-0.252,0.625,5.738,680440,,
2025/12/10 17:06:47.779,0.14,0.818,6.198,-0.113,0.629,-0.054,0.184,-0.129,-0.068,-0.234,0.53,5.716,680540,,
2025/12/10 17:06:47.879,-0.049,0.448,5.971,-0.088,0.706,-0.064,0.147,-0.113,-0.016,-0.159,0.527,5.763,680640,,
2025/12/10 17:06:47.979,-0.107,-0.046,6.092,-0.113,0.658,-0.035,0.191,-0.133,-0.053,-0.178,0.213,5.747,680740,,
2025/12/10 17:06:48.079,-0.678,-0.384,5.766,-0.132,0.661,0.019,0.195,-0.157,-0.053,-0.215,-0.039,5.723,680840,,
2025/12/10 17:06:48.179,-1.015,-0.835,5.541,-0.116,0.655,0.104,0.14,-0.175,-0.04,-0.272,-0.226,5.678,680940,,
2025/12/10 17:06:48.279,-0.497,-0.628,5.607,-0.091,0.666,0.132,0.155,-0.181,-0.043,-0.261,-0.472,5.659,681040,,
2025/12/10 17:06:48.383,-0.393,-0.218,5.449,-0.079,0.63,0.15,0.128,-0.184,-0.035,-0.228,-0.585,5.628,681140,,
2025/12/10 17:06:48.479,-0.697,-0.434,4.935,-0.037,0.591,0.155,0.131,-0.199,-0.018,-0.22,-0.617,5.513,681240,,
2025/12/10 17:06:48.579,-0.152,-1.029,5.597,-0.011,0.587,0.114,0.139,-0.229,-0.013,-0.217,-0.6,5.383,681340,,
2025/12/10 17:06:48.679,-0.871,-0.148,5.251,-0.017,0.579,0.11,0.102,-0.231,-0.035,-0.173,-0.534,5.364,681440,,
2025/12/10 17:06:48.779,-0.293,-0.452,5.283,-0.049,0.586,0.053,0.151,-0.268,-0.002,-0.195,-0.322,5.442,681540,,
2025/12/10 17:06:48.879,0.23,0.79,5.631,-0.051,0.58,0.059,0.156,-0.265,-0.001,-0.19,-0.101,5.398,681640,,
2025/12/10 17:06:48.979,0.29,0.363,5.754,-0.026,0.701,0.087,0.284,-0.242,0.106,-0.154,0.351,5.49,681740,,
2025/12/10 17:06:49.079,0.473,0.556,5.876,0.001,0.624,0.105,0.212,-0.223,0.037,-0.122,0.437,5.627,681840,,
2025/12/10 17:06:49.179,-0.001,0.496,5.784,0.019,0.579,0.11,0.185,-0.216,0.005,-0.119,0.52,5.723,681940,,
2025/12/10 17:06:49.279,-0.029,0.405,5.578,0.063,0.578,0.13,0.185,-0.193,0.004,-0.074,0.601,5.819,682040,,
2025/12/10 17:06:49.383,-0.153,0.299,5.776,0.116,0.597,0.141,0.193,-0.167,0.012,-0.035,0.628,5.862,682140,,
2025/12/10 17:06:49.479,-0.197,0.695,5.843,0.037,0.612,0.126,0.192,-0.206,0.021,-0.203,0.563,5.85,682240,,
2025/12/10 17:06:49.579,-0.48,0.025,5.829,0.048,0.569,0.111,0.201,-0.197,-0.004,-0.225,0.333,5.867,682340,,
2025/12/10 17:06:49.679,-0.987,0.055,5.734,0.046,0.621,0.113,0.154,-0.198,0.034,-0.27,0.232,5.913,682440,,
2025/12/10 17:06:49.779,-0.622,-0.34,6.177,0.049,0.624,0.155,0.118,-0.209,0.045,-0.353,0.041,5.865,682540,,
2025/12/10 17:06:49.879,-0.412,-0.478,5.719,0.016,0.622,0.08,0.113,-0.197,0.046,-0.278,-0.185,5.922,682640,,
