Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:24:16.439,-0.735,-1.551,3.297,0.159,1.265,-0.206,-1.364,-0.152,0.064,-0.413,-1.779,4.986,1793170,,
2025/12/12 15:24:16.539,-0.115,-1.777,4.294,0.162,1.258,-0.198,-1.399,-0.148,0.042,-0.38,-1.622,4.371,1793270,,
2025/12/12 15:24:16.641,-0.638,-0.732,5.697,0.161,1.261,-0.198,-1.384,-0.148,0.051,-0.326,-1.178,4.055,1793370,,
2025/12/12 15:24:16.739,-0.417,-0.412,7.124,0.17,1.268,-0.183,-1.38,-0.138,0.056,-0.222,-0.583,4.398,1793470,,
2025/12/12 15:24:16.839,0.191,0.031,7.192,0.186,1.176,-0.171,-1.44,-0.127,-0.006,-0.101,-0.086,5.334,1793570,,
2025/12/12 15:24:16.939,0.23,0.976,6.425,0.19,1.138,-0.169,-1.454,-0.125,-0.025,-0.006,0.521,6.166,1793670,,
2025/12/12 15:24:17.039,-0.247,1.941,4.83,0.169,1.181,-0.171,-1.439,-0.135,-0.004,0.034,1.178,6.492,1793770,,
2025/12/12 15:24:17.139,-0.278,1.475,4.142,0.159,1.203,-0.158,-1.442,-0.143,0.007,0.061,1.646,6.325,1793870,,
2025/12/12 15:24:17.239,0.103,1.18,4.724,0.163,1.175,-0.15,-1.423,-0.143,-0.01,0.079,1.814,5.944,1793970,,
2025/12/12 15:24:17.339,-0.162,1.682,5.34,0.159,1.157,-0.14,-1.382,-0.148,-0.031,0.049,1.727,5.593,1794070,,
2025/12/12 15:24:17.439,-0.596,1.73,5.982,0.162,1.158,-0.104,-1.392,-0.159,-0.027,-0.037,1.487,5.411,1794170,,
2025/12/12 15:24:17.539,-0.414,0.775,6.548,0.18,1.146,-0.085,-1.434,-0.164,-0.015,-0.126,1.091,5.46,1794270,,
2025/12/12 15:24:17.641,0.035,-0.106,6.794,0.181,1.139,-0.091,-1.449,-0.163,-0.01,-0.194,0.516,5.633,1794370,,
2025/12/12 15:24:17.739,-0.173,-0.437,6.276,0.184,1.138,-0.089,-1.454,-0.164,-0.01,-0.267,-0.141,5.792,1794470,,
2025/12/12 15:24:17.839,-1.034,-0.643,5.125,0.205,1.13,-0.092,-1.454,-0.173,-0.007,-0.352,-0.778,5.845,1794570,,
2025/12/12 15:24:17.939,-0.922,-1.111,4.426,0.217,1.07,-0.114,-1.426,-0.187,0.026,-0.417,-1.227,5.724,1794670,,
2025/12/12 15:24:18.039,-0.37,-1.871,4.521,0.205,1.022,-0.108,-1.367,-0.18,0.071,-0.412,-1.48,5.423,1794770,,
2025/12/12 15:24:18.139,-0.752,-1.332,4.334,0.203,1.011,-0.073,-1.333,-0.159,0.092,-0.347,-1.577,5.07,1794870,,
2025/12/12 15:24:18.239,-0.741,-0.818,4.745,0.2,1.021,-0.065,-1.279,-0.155,0.125,-0.284,-1.423,4.79,1794970,,
2025/12/12 15:24:18.339,-0.542,-0.841,5.695,0.222,1.061,-0.016,-1.207,-0.124,0.172,-0.136,-1.012,4.788,1795070,,
2025/12/12 15:24:18.439,0.054,-0.399,5.967,0.245,1.089,0.001,-1.171,-0.107,0.198,-0.013,-0.477,5.055,1795170,,
2025/12/12 15:24:18.539,-0.001,-0.206,5.815,0.224,1.075,-0.022,-1.18,-0.126,0.189,0.009,0.057,5.401,1795270,,
