Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/11/14 15:58:55.532,-0.9,0.059,6.419,0.577,-0.111,2.352,-0.224,0.015,-0.07,-1.451,0.121,4.357,2406670,,
2025/11/14 15:58:55.632,-0.766,1.354,8.279,0.589,-0.132,2.363,-0.243,0.013,-0.067,-0.713,0.078,4.813,2406770,,
2025/11/14 15:58:55.732,0.204,2.013,8.142,0.692,-0.15,2.312,-0.237,-0.044,-0.058,-0.036,0.016,5.817,2406870,,
2025/11/14 15:58:55.832,1.234,1.391,6.826,0.752,-0.17,2.238,-0.187,-0.099,-0.024,0.647,-0.001,6.972,2406970,,
2025/11/14 15:58:55.932,2.103,0.252,5.61,0.768,-0.166,2.205,-0.074,-0.12,0.043,1.316,0.071,7.572,2407070,,
2025/11/14 15:58:56.032,2.869,-2.291,5.338,0.75,-0.147,2.124,-0.087,-0.17,0.037,1.737,-0.015,7.422,2407170,,
2025/11/14 15:58:56.132,4.085,-2.352,5.868,0.733,-0.171,2.092,-0.141,-0.19,0.003,1.979,-0.159,6.869,2407270,,
2025/11/14 15:58:56.234,3.535,-1.483,5.734,0.727,-0.258,2.07,-0.226,-0.2,-0.068,1.97,-0.388,6.273,2407370,,
2025/11/14 15:58:56.332,1.899,-0.021,6.326,0.709,-0.249,2.048,-0.206,-0.218,-0.053,1.682,-0.376,5.748,2407470,,
2025/11/14 15:58:56.432,0.345,1.288,7.2,0.718,-0.222,2.047,-0.18,-0.216,-0.031,1.218,-0.305,5.581,2407570,,
2025/11/14 15:58:56.533,-1.238,2.66,8.046,0.749,-0.156,2.05,-0.148,-0.2,0.004,0.614,-0.156,5.794,2407670,,
2025/11/14 15:58:56.632,-2.326,1.845,7.391,0.716,-0.099,2.053,-0.148,-0.219,0.035,-0.184,-0.012,6.179,2407770,,
2025/11/14 15:58:56.733,-1.181,-0.337,6.789,0.722,-0.084,2.076,-0.172,-0.221,0.048,-0.947,0.089,6.514,2407870,,
2025/11/14 15:58:56.832,-0.669,-2.246,5.69,0.763,-0.1,2.06,-0.201,-0.197,0.048,-1.559,0.168,6.476,2407970,,
2025/11/14 15:58:56.933,-0.726,-2.505,4.813,0.791,-0.135,2.04,-0.14,-0.18,0.015,-2.027,0.126,6.149,2408070,,
2025/11/14 15:58:57.032,-0.762,-2.557,4.596,0.796,-0.139,1.981,-0.143,-0.158,0.014,-2.24,0.177,5.66,2408170,,
2025/11/14 15:58:57.133,-1.036,-0.906,4.369,0.766,-0.097,1.929,-0.101,-0.142,-0.0,-2.201,0.136,5.178,2408270,,
2025/11/14 15:58:57.234,-2.088,-0.574,4.408,0.708,-0.086,1.889,-0.115,-0.123,-0.002,-1.893,0.138,4.816,2408370,,
2025/11/14 15:58:57.333,-1.26,0.772,5.632,0.622,-0.048,1.864,-0.131,-0.095,-0.018,-1.333,0.072,4.734,2408470,,
2025/11/14 15:58:57.432,-1.517,1.2,6.265,0.611,-0.069,1.882,-0.145,-0.085,-0.015,-0.711,0.055,4.945,2408570,,
2025/11/14 15:58:57.532,-0.991,2.367,6.306,0.633,-0.089,1.873,-0.153,-0.097,-0.011,-0.06,0.02,5.498,2408670,,
2025/11/14 15:58:57.632,-0.812,2.286,5.486,0.665,-0.108,1.837,-0.111,-0.124,0.016,0.544,0.028,6.167,2408770,,
2025/11/14 15:58:57.732,-0.257,1.784,4.986,0.674,-0.101,1.721,-0.024,-0.196,0.07,0.957,0.099,6.536,2408870,,
2025/11/14 15:58:57.832,1.059,0.275,5.306,0.633,-0.069,1.592,-0.004,-0.276,0.086,1.184,0.093,6.546,2408970,,
2025/11/14 15:58:57.932,2.081,-1.065,5.563,0.607,-0.038,1.552,0.008,-0.304,0.101,1.332,0.102,6.377,2409070,,
2025/11/14 15:58:58.032,2.664,-2.688,6.268,0.592,-0.075,1.538,-0.049,-0.316,0.064,1.309,-0.016,6.13,2409170,,
2025/11/14 15:58:58.133,2.583,-2.186,6.729,0.659,-0.126,1.577,-0.084,-0.274,0.029,1.236,-0.122,6.02,2409270,,
2025/11/14 15:58:58.234,2.068,-1.43,7.787,0.63,-0.214,1.554,-0.12,-0.295,-0.018,0.809,-0.26,5.981,2409370,,
2025/11/14 15:58:58.333,0.766,0.33,7.842,0.691,-0.236,1.55,-0.108,-0.263,-0.031,0.4,-0.265,6.186,2409470,,
