Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:15:37.058,-2.132,-0.064,4.996,-1.287,0.044,-1.482,-0.027,-0.181,-0.015,-1.501,-0.047,7.07,1273800,,
2025/12/12 15:15:37.158,-2.277,-0.196,3.305,-1.353,0.035,-1.591,-0.035,-0.254,-0.021,-2.127,-0.046,6.646,1273900,,
2025/12/12 15:15:37.258,-1.643,-0.488,3.211,-1.349,0.019,-1.583,-0.046,-0.249,-0.033,-2.32,-0.06,5.67,1274000,,
2025/12/12 15:15:37.358,-1.806,0.263,3.618,-1.173,-0.032,-1.482,-0.075,-0.138,-0.065,-1.941,-0.135,4.773,1274100,,
2025/12/12 15:15:37.458,-1.468,0.451,5.276,-1.126,-0.018,-1.461,-0.072,-0.112,-0.058,-1.544,-0.093,4.234,1274200,,
2025/12/12 15:15:37.560,-1.31,-0.113,6.522,-1.183,-0.014,-1.467,-0.073,-0.141,-0.056,-1.122,-0.06,4.312,1274300,,
2025/12/12 15:15:37.658,-0.978,0.039,6.629,-1.26,0.005,-1.446,-0.071,-0.186,-0.046,-0.607,-0.007,4.829,1274400,,
2025/12/12 15:15:37.758,-0.328,-0.376,6.034,-1.325,-0.0,-1.386,-0.063,-0.235,-0.051,-0.049,-0.003,5.417,1274500,,
2025/12/12 15:15:37.858,0.687,-0.979,5.38,-1.322,-0.001,-1.382,-0.05,-0.234,-0.055,0.615,-0.008,5.882,1274600,,
2025/12/12 15:15:37.958,1.22,0.379,5.052,-1.32,0.006,-1.347,-0.031,-0.247,-0.06,1.122,-0.029,5.993,1274700,,
2025/12/12 15:15:38.058,1.615,0.284,4.722,-1.326,-0.003,-1.366,-0.038,-0.241,-0.058,1.52,-0.021,5.967,1274800,,
2025/12/12 15:15:38.158,1.685,0.373,4.893,-1.317,-0.01,-1.352,-0.046,-0.245,-0.056,1.641,-0.015,5.777,1274900,,
2025/12/12 15:15:38.258,0.715,0.027,4.77,-1.328,-0.006,-1.356,-0.04,-0.242,-0.056,1.551,-0.033,5.565,1275000,,
2025/12/12 15:15:38.358,1.029,-0.189,5.52,-1.292,-0.001,-1.372,-0.042,-0.261,-0.059,1.159,-0.054,5.403,1275100,,
2025/12/12 15:15:38.458,0.622,-0.047,6.381,-1.302,-0.004,-1.366,-0.045,-0.254,-0.06,0.642,-0.068,5.309,1275200,,
2025/12/12 15:15:38.560,-0.126,0.092,6.605,-1.324,-0.038,-1.309,0.026,-0.217,-0.012,0.08,0.033,5.487,1275300,,
2025/12/12 15:15:38.658,-0.578,-0.013,6.39,-1.322,-0.031,-1.243,-0.018,-0.177,-0.039,-0.499,-0.037,5.781,1275400,,
2025/12/12 15:15:38.758,-1.382,-0.222,5.21,-1.285,-0.033,-1.13,-0.029,-0.107,-0.045,-0.941,-0.067,6.051,1275500,,
2025/12/12 15:15:38.858,-1.749,0.307,4.897,-1.245,-0.017,-1.071,0.002,-0.067,-0.025,-1.314,-0.025,5.951,1275600,,
2025/12/12 15:15:38.958,-1.695,0.333,4.346,-1.148,-0.009,-0.977,0.006,0.012,-0.02,-1.405,-0.019,5.691,1275700,,
2025/12/12 15:15:39.058,-1.491,0.136,4.378,-1.16,0.037,-0.988,0.037,0.001,0.012,-1.523,0.065,5.233,1275800,,
2025/12/12 15:15:39.158,-1.562,0.394,4.417,-1.208,0.04,-1.008,0.039,-0.023,0.013,-1.491,0.064,4.854,1275900,,
2025/12/12 15:15:39.258,-0.682,0.08,5.012,-1.18,0.045,-0.994,0.037,-0.01,0.016,-1.153,0.061,4.793,1276000,,
