Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/04 17:56:04.725,0.696,-0.521,4.554,-0.515,0.187,-1.663,0.035,-0.251,-0.061,1.042,-0.241,4.985,502650,,
2025/12/04 17:56:04.825,0.58,-0.826,5.713,-0.55,0.202,-1.662,0.032,-0.237,-0.068,0.52,-0.273,4.796,502750,,
2025/12/04 17:56:04.925,0.249,-0.714,7.273,-0.614,0.238,-1.632,0.008,-0.202,-0.091,-0.063,-0.317,4.921,502850,,
2025/12/04 17:56:05.025,-0.852,0.553,7.073,-0.674,0.228,-1.533,0.019,-0.133,-0.083,-0.586,-0.248,5.477,502950,,
2025/12/04 17:56:05.125,-2.231,0.446,4.976,-0.683,0.231,-1.431,0.035,-0.071,-0.073,-1.034,-0.147,6.202,503050,,
2025/12/04 17:56:05.227,-1.978,-0.124,3.605,-0.721,0.244,-1.527,0.084,-0.131,-0.044,-1.608,0.023,6.249,503150,,
2025/12/04 17:56:05.325,-1.258,1.286,3.695,-0.796,0.246,-1.637,0.091,-0.206,-0.039,-2.017,0.129,5.624,503250,,
2025/12/04 17:56:05.425,-1.829,-0.274,3.713,-0.616,0.268,-1.484,0.104,-0.069,-0.025,-1.575,0.233,4.945,503350,,
2025/12/04 17:56:05.525,-2.47,0.427,4.519,-0.646,0.227,-1.495,0.09,-0.084,-0.046,-1.274,0.198,4.473,503450,,
2025/12/04 17:56:05.625,-1.221,0.772,6.268,-0.817,0.201,-1.534,0.081,-0.172,-0.06,-0.994,0.141,4.441,503550,,
2025/12/04 17:56:05.725,-0.032,0.797,7.05,-0.948,0.196,-1.524,0.081,-0.243,-0.062,-0.513,0.086,4.842,503650,,
2025/12/04 17:56:05.825,1.218,0.994,6.938,-0.976,0.246,-1.505,0.05,-0.262,-0.029,0.162,0.102,5.451,503750,,
2025/12/04 17:56:05.925,1.544,-0.221,5.856,-0.973,0.259,-1.507,0.011,-0.26,-0.011,0.824,0.066,5.88,503850,,
2025/12/04 17:56:06.025,1.986,0.155,5.246,-0.971,0.26,-1.506,0.017,-0.26,-0.013,1.302,-0.046,6.001,503950,,
2025/12/04 17:56:06.125,1.446,-0.224,4.702,-0.953,0.24,-1.457,-0.017,-0.275,-0.002,1.455,-0.096,5.779,504050,,
2025/12/04 17:56:06.228,0.536,-0.837,4.696,-0.963,0.265,-1.461,0.012,-0.271,-0.012,1.403,-0.224,5.463,504150,,
2025/12/04 17:56:06.325,0.29,-0.463,5.417,-0.887,0.263,-1.43,0.005,-0.297,-0.012,0.956,-0.267,5.114,504250,,
2025/12/04 17:56:06.425,0.811,0.697,6.541,-0.927,0.237,-1.425,0.013,-0.28,-0.0,0.463,-0.234,5.059,504350,,
2025/12/04 17:56:06.525,0.189,0.212,6.798,-0.973,0.213,-1.38,0.043,-0.244,0.022,-0.105,-0.139,5.208,504450,,
2025/12/04 17:56:06.625,-0.825,-0.088,6.234,-1.0,0.218,-1.268,0.035,-0.174,0.017,-0.608,-0.082,5.607,504550,,
2025/12/04 17:56:06.725,-0.817,0.866,5.666,-0.984,0.218,-1.177,0.07,-0.119,0.038,-1.05,0.058,5.932,504650,,
2025/12/04 17:56:06.825,-1.069,0.105,4.838,-0.947,0.235,-1.113,0.092,-0.077,0.053,-1.346,0.188,5.935,504750,,
2025/12/04 17:56:06.925,-0.0,0.194,5.036,-0.94,0.208,-1.103,0.064,-0.07,0.031,-1.511,0.202,5.628,504850,,
2025/12/04 17:56:07.025,-1.139,-0.239,4.481,-0.802,0.172,-1.028,0.037,0.013,0.005,-1.216,0.17,5.273,504950,,
2025/12/04 17:56:07.125,-1.629,-0.49,4.826,-0.833,0.105,-1.039,0.009,-0.002,-0.031,-0.991,0.074,5.008,505050,,
