Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/04 17:31:33.214,0.186,-0.033,-23.5,0.03,0.008,0.017,-0.033,0.173,-0.029,0.144,-0.003,-22.585,2002510,,
2025/12/04 17:31:33.314,0.2,-0.028,-23.505,0.024,0.011,0.012,-0.03,0.175,-0.03,0.148,-0.019,-22.649,2002610,,
2025/12/04 17:31:33.414,0.194,-0.029,-23.486,0.017,0.012,0.01,-0.029,0.178,-0.03,0.157,-0.033,-22.771,2002710,,
2025/12/04 17:31:33.514,0.198,-0.034,-23.486,0.013,0.011,0.011,-0.029,0.18,-0.03,0.168,-0.044,-22.933,2002810,,
