Timestamp,F_curr_X_N,F_curr_Y_N,F_curr_Z_N,A_X,A_Y,B_X,B_Y,C_X,C_Y,F_pred_X_N,F_pred_Y_N,F_pred_Z_N,Pixhawk_Time_ms,Prediction_Time_ms,Cold_Start_Progress
2025/12/12 15:23:18.137,1.16,-0.109,6.395,-0.315,-0.074,1.961,-0.1,-0.217,0.067,0.961,-0.056,4.112,1734870,,
2025/12/12 15:23:18.237,0.803,0.037,8.199,-0.225,-0.111,2.003,-0.119,-0.166,0.046,0.466,-0.104,4.493,1734970,,
2025/12/12 15:23:18.337,-0.853,0.67,7.454,-0.116,-0.151,2.033,-0.133,-0.11,0.025,-0.09,-0.133,5.282,1735070,,
2025/12/12 15:23:18.437,-1.295,-0.093,6.79,-0.116,-0.148,2.04,-0.14,-0.112,0.028,-0.821,-0.072,5.915,1735170,,
2025/12/12 15:23:18.537,-1.516,0.322,5.388,-0.144,-0.175,2.054,-0.124,-0.129,0.01,-1.505,-0.052,6.065,1735270,,
2025/12/12 15:23:18.639,-1.144,0.714,4.887,-0.145,-0.16,2.067,-0.14,-0.133,0.022,-1.976,0.059,5.888,1735370,,
2025/12/12 15:23:18.737,-1.937,0.534,3.981,-0.15,-0.161,2.049,-0.15,-0.129,0.025,-2.171,0.144,5.472,1735470,,
2025/12/12 15:23:18.837,-1.7,0.111,4.303,-0.159,-0.166,2.019,-0.153,-0.119,0.025,-2.076,0.206,5.033,1735570,,
2025/12/12 15:23:18.937,-1.739,0.538,4.674,-0.192,-0.167,1.983,-0.157,-0.108,0.027,-1.702,0.248,4.737,1735670,,
2025/12/12 15:23:19.037,-0.949,-0.181,5.766,-0.201,-0.186,1.971,-0.162,-0.105,0.032,-1.155,0.279,4.672,1735770,,
2025/12/12 15:23:19.137,-0.453,0.254,6.249,-0.17,-0.153,1.976,-0.159,-0.116,0.02,-0.53,0.214,4.863,1735870,,
2025/12/12 15:23:19.237,0.277,0.057,5.982,-0.118,-0.184,1.952,-0.14,-0.146,0.039,0.103,0.214,5.307,1735970,,
2025/12/12 15:23:19.337,1.031,0.215,5.67,-0.063,-0.167,1.889,-0.156,-0.194,0.026,0.653,0.113,5.738,1736070,,
2025/12/12 15:23:19.437,1.274,0.075,5.076,-0.04,-0.169,1.811,-0.116,-0.243,0.05,1.08,0.086,5.97,1736170,,
2025/12/12 15:23:19.537,1.799,-0.039,5.166,-0.047,-0.172,1.731,-0.155,-0.292,0.027,1.314,-0.046,5.9,1736270,,
2025/12/12 15:23:19.639,1.069,-0.078,4.913,-0.085,-0.154,1.625,-0.124,-0.358,0.047,1.269,-0.069,5.629,1736370,,
2025/12/12 15:23:19.737,1.071,-0.421,5.428,-0.075,-0.184,1.632,-0.165,-0.35,0.018,1.177,-0.195,5.438,1736470,,
2025/12/12 15:23:19.837,0.042,-0.35,5.265,-0.038,-0.19,1.649,-0.171,-0.328,0.013,0.928,-0.239,5.369,1736570,,
2025/12/12 15:23:19.937,-0.479,-0.256,5.748,-0.042,-0.177,1.647,-0.166,-0.331,0.02,0.458,-0.215,5.348,1736670,,
2025/12/12 15:23:20.037,-0.105,-0.332,6.247,0.026,-0.171,1.672,-0.164,-0.295,0.023,-0.001,-0.171,5.484,1736770,,
2025/12/12 15:23:20.137,-0.014,0.208,6.588,0.059,-0.172,1.677,-0.162,-0.278,0.022,-0.557,-0.113,5.604,1736870,,
2025/12/12 15:23:20.237,0.275,0.219,6.471,0.168,-0.168,1.646,-0.16,-0.215,0.024,-0.956,-0.032,5.771,1736970,,
2025/12/12 15:23:20.337,-0.974,0.208,5.305,0.226,-0.163,1.581,-0.159,-0.168,0.026,-1.301,0.056,5.768,1737070,,
2025/12/12 15:23:20.437,-1.541,0.575,4.879,0.244,-0.156,1.524,-0.182,-0.142,0.037,-1.542,0.17,5.618,1737170,,
2025/12/12 15:23:20.537,-1.536,-0.093,4.244,0.229,-0.161,1.442,-0.169,-0.116,0.031,-1.574,0.214,5.386,1737270,,
2025/12/12 15:23:20.639,-1.123,0.625,4.685,0.223,-0.16,1.434,-0.167,-0.114,0.03,-1.503,0.251,5.073,1737370,,
2025/12/12 15:23:20.737,-0.49,0.175,5.043,0.193,-0.177,1.405,-0.173,-0.104,0.035,-1.208,0.284,4.892,1737470,,
2025/12/12 15:23:20.837,-0.008,0.215,5.753,0.173,-0.154,1.4,-0.166,-0.097,0.028,-0.791,0.234,4.857,1737570,,
2025/12/12 15:23:20.937,0.207,0.417,5.878,0.2,-0.162,1.393,-0.158,-0.11,0.034,-0.347,0.201,5.0,1737670,,
2025/12/12 15:23:21.037,0.532,0.171,5.724,0.227,-0.13,1.372,-0.177,-0.128,0.014,0.11,0.079,5.304,1737770,,
2025/12/12 15:23:21.137,1.056,0.129,6.021,0.276,-0.135,1.253,-0.15,-0.207,0.031,0.389,0.038,5.553,1737870,,
